CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
M.Royo & KlockMetal,https:/www.mroyo.com https:/www.klockmetal.com,Metal Works,Buenos Aires,Argentina,M.Royo and Klockmetal are two Argentine companies that work together to provide long and flat steel,1-25 employees,2024-08-28 00:00:00,,,Employee and HR data,BianLian
Scott Pharma Solutions,https://scottpharma.net/,Pharmaceutical,"Marlborough, Massachusetts",United States,"ScottPharma Solutions was launched in January 2016 by combining two respected distributors, Scotts Distributing and PharmaServ",2-10 employees,2024-08-28 00:00:00,,,"Employee and HR data, Healthcare Data",BianLian
Fish Nelson & Holden,https://www.fishnelson.com,Legal,"Birmingham, Alabama",,"Fish Nelson & Holden, LLC is a full-service law firm composed of a carefully assembled, talented group of attorneys and support staff. The entire Fish Nelson & Holden team recognizes the importance of professional development and continuously seeks new and better ways to serve our clients. ",,2024-08-28 00:00:00,,1 TB,"PII, Customer and Client Data, Employee and HR data, Sensitive Communication, Healthcare Data",BianLian
"Atwood & Cherny, P.C.",http://atwoodcherny.com,Legal,"Boston, Massachusetts",United States,"Atwood & Cherny, P.C. offers an array of services in the area of family law and divorce in addition to litigation, appellate work and mediation. Many of our attorneys are trained in Alternative Dispute Resolution and serve as Court Appointed Masters, Conciliators and Guardian Ad Litems.  Divorces involving high net worth and substantial assets require careful planning.  Let the respected attorneys of Atwood & Cherny guide you through this process.",11-50 employees,2024-08-28 00:00:00,,66 GB,"PII, Customer and Client Data, Employee and HR data",BianLian
Better Business Bureau,https://www.bbb.org (Arizona office),,"Arlington, Virginia",United States,"Since 1912, the Better Business Bureau has been on the forefront of positive marketplace change by partnering with leading companies committed to the best practices of business ethics, marketplace excellence, and effective industry self-regulation. As a mission-driven nonprofit organization, the over 100 BBBs across the U.S., Canada and Mexico work with consumers, businesses, and the government to advance marketplace trust.","1,001-5,000 employees",2024-06-25 00:00:00,,1.2 Tb,"PII, Employee and HR data, Sensitive Communication",BianLian
Sable International,https://www.sableinternational.com/,,"London, England",,"Sable brings together a group of companies that specialise in unique financial and immigration services for businesses and individuals.

Our clients are Äòglobal citizens; individuals and SMEs with international interests like wealth, property, clients, suppliers and family abroad. For three decades, we have provided this clientele with expertise that is tailored to their unique circumstances.

We provide a personalised service to clients who enjoy direct access to experienced professionals. If you are looking for a smart and able financial services provider, wed love to speak with you. 

We are fully regulated by the ICAEW, FCA OISC and The Law Society",201-500 employees,2024-08-25 00:00:00,,200 Gb,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
"Karvo Companies, Inc.",https://www.karvocompanies.com/,,"Stow, Ohio",,"Karvo Companies, Inc. is a dynamic, growth oriented general contractor specializing in heavy highway construction.  Since its establishment in 1989, this family-owned construction company has been improving highways and communities through proficient leadership, emphasis on safety, integrity and career opportunities for over 300 skilled employees.  Karvo Companies is commitment to excellence and ingenuity has earned the company the distinction of one of Ohio's leaders in the construction industry.",201-500 employees,2024-07-26 00:00:00,,470 Gb,"Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
US Dermatology Partners,https://usdermatologypartners.com,Healthcare,"Dallas, Texas",United States,"U.S. Dermatology Partners is one of the premier dermatology practices in the country, caring for over two million patients each year. With over 100 locations across eight states that span large metroplexes and rural, underserved communities, they provide the benefits of private, personalized levels of care paired with a network of coordinated, specialized dermatology physicians. U.S. Dermatology Partners is fervently focused on providing the highest level of compassionate and comprehensive patient-first care, making it seamless for all people to connect with dermatologists and national leaders in areas such as clinical research, psoriasis, and Mohs surgery, and gain access to state-of-the-art dermatological treatments, surgical and cosmetic dermatology. To learn more, visit usdermatologypartners.com.",,2024-06-25 00:00:00,,300 Gb,"PII, Employee and HR data",BianLian
PBC Companies,https://pbccompanies.com/,Design,California,United States,Providing M&A guidance and management services to the Financial Services industry,11-50 employees,2024-08-18 00:00:00,,300 Gb,,BianLian
Mohawk Valley Cardiology PC,https://mohawkvalleycardiologypc.com/,Healthcare,"Utica, New York",United States,"We are personal cardiac care providers serving the greater Mohawk Valley Area, residing in the heart of Utica and affiliated with St. Josephs Hospital . ",28 employees,2024-08-18 00:00:00,,80 Gb,"PII, Healthcare Data",BianLian
Accelon Technologies Private,https://accelontech.com,IT,"Pune, MH",India,"Started in 2005 & based in Pune, Accelon Technologies is a committed team of SAP ERP consultants with one goal Äì enabling intelligent automation of our clients businesses. We provide 360-degree services for SAP ERP solutions from initial consultation, planning, implementation, add-ons, and beyond. Having worked with 150+ customers across various verticals and industries, we specialize in SAP ERP solutions for Micro, Small, & Medium businesses. With numerous successful SAP Business One implementations, we are one of the best ERP & Business Intelligence services providers and a proud SAP Gold Partner in India.


EXPERIENCE
Ä¢ Over 15 years of SAP ERP Implementations. Ä¢ 150+ Successful Implementations Ä¢ 9000+ Users Supported. Ä¢ 15+ Industries Served. Ä¢ Successful Implementations in 5+ Global Regions.

EXPERTISE
Ä¢ SAP Gold Partner Ä¢ SAP Business One Ä¢ SAP Business One Version for HANA. Add-ons Development for SAP Business One.

SUPPORT
Ä¢ 8+ Offices across India Ä¢ 70+ Active Employees Ä¢ Dedicated Support Teams Ä¢ Consultancy, Training, Reporting, and Maintenance. Ä¢ Call, Online, and On-site support.

INNOVATION
Ä¢ 10+ Apps and Add-ons for SAP B1 Ä¢ In-house developers, designers, data architects, and project managers. Ä¢ Feature-rich add-ons for Fashion, Apparel, Footwear, and Retail Industries.",51-200 employees,2024-07-24 00:00:00,,480 GB,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication, Healthcare Data",BianLian
Texas Alcohol & Drug Testing Service,https://tadts.net,,"Houston, Texas",,"The mission of Texas Alcohol and Drug Testing Service, Inc., is to provide a confidential, cost-effective, high quality testing program geared toward everyone from the individual to the large corporation, while striving for integrity in testing.  We are the only choice when dependability counts.

Established in 1994, Texas Alcohol and Drug Testing Service (TADTS) is an industry leader in helping companies establish a Drug-Free Workplace.

That experience includes federally mandated testing for the transportation, marine, aviation, pipeline and oil and gas industries.

Complying with federal and state rules and regulations related to testing requires a lot of time and effort. Many companies are not equipped to deal with ever-changing federal regulations and state legislation affecting the testing industry. Companies can take advantage of Third Party Administration (TPA) services provided by TADTS. Internal programs offered by a company can be charged with discriminative administration, unfair treatment, and wrongful discharge. Contracting with the experts at TADTS is a simple decision that can protect your business. 

TADTS collectors are certified by the Drug and Alcohol Testing Industry Association (DATIA), and are also certified Breath Alcohol Technicians (BAT). TADTS collectors have received 12 hours of specialized training for specimen collection techniques in compliance with federal testing regulations.",51-200 employees,2024-07-14 00:00:00,,,,BianLian
Playa Vista Job Opportunities and Business Services,https://pvjobs.org,Recruitment,California,United States,,25 employees,2024-07-24 00:00:00,,950 GB,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication, Healthcare Data",BianLian
Thompson Davis & Co,https://www.thompsondavis.com,Finance,"Richmond, VA",United States,"Founded in  2002, Thompson Davis & Co. is an independent private asset manager providing individuals, businesses, foundations and retirement plans with disciplined and uniquely focused growth and value-driven investment management.  Our research methodology forms the foundation of everything we do.  Our discipline is the basis of our ability to properly manage the assets under our care and the source of our competitive advantage.  Our paramount goal is to use our experience and knowledge for the benefit of our clients.  We trust our disciplined and focused investment process enough to follow it not only for our clients but also for ourselves.  By aligning our interests with our clients, we strive to create a level of trust building and solid long-term relationships.  This is self-explanatory, but worth repeating - our success depends on yours.",11-50 employees,2024-08-14 00:00:00,,200 Gb,"PII, Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
Island Transportation Corp.,https://islandtrans.com,Transportation,"West Babylon, New York",United States,"Island Transportation Corp., founded in 1952 with one customer and two used tractor-trailers, has grown to one of the largest bulk carriers in the United States servicing the petroleum industry for over 50 years. Today, we are privileged to serve a majority of the leading oil companies in the northeast, hauling billions of gallons of product to their facilities each year. This is achieved by a modern fleet of tractors and trailers and the best trained professional truck drivers in the industry. We presently employ over 300 people in the tri-state area, the cornerstone of our business. Our growth over the years has been the result of dedication, loyalty and the hard work of our people. Island Transportation's Corporate Headquarters is located at 299 Edison Avenue, West Babylon, New York, with our main operating facilities in the following areas:

* West Babylon, New York
* Booklyn, New York
* Port Reading, New Jersey 
* North Haven, Connecticut",201-500 employees,2024-07-04 00:00:00,,~300 Gb,"PII, Employee and HR data",BianLian
Southwest Family Medicine Associates,https://southwestfamilymed.com,Healthcare,"Dallas, Texas",United States,"SFMA is a medical home recognized by the National Committee for Quality Assurance (NCQA). SFMA emphasizes on care coordination and long-term healing relationships. Through proactive management of patients with chronic diseases, open scheduling, extended hours and communication between patients, physicians and staff, patients are expected to experience an enhanced care in SFMA.",11-50 employees,2024-08-13 00:00:00,,400 Gb,"PII, Employee and HR data, Databases, Sensitive Communication",BianLian
"Florence Cement Company, Inc.",https://www.florencecement.com,Contrating,"Shelby Township, Michigan",United States,The Florence Cement Company is a local contractor performing public and private road construction in Southeastern Michigan.,51-200 employees,2024-07-31 00:00:00,,500 Gb,"PII, Employee and HR data, Sensitive Communication",BianLian
Augusta Orthopedic,https://ortho-augusta.com,Healthcare,"Thomson, Georgia",United States,"Augusta Orthopedic & Sports Medicine Specialists is a comprehensive medical and surgical practice devoted to the care of bone, joint, ligament, nerve and muscle problems. Over the past twenty years, we have grown to encompass seven highly skilled surgeons and provide state of the art facilities housing digital x-rays, MRIs and physical therapy services.",11-50 employees,2024-07-26 00:00:00,,~2.5 TB,"PII, Sensitive Communication, Healthcare Data",BianLian
Insula Group,http://insulagroup.com.au,IT,"OAKLEIGH, VIC",Australia,"Insula Group is a Melbourne-based software and consultancy firm which has been providing IT solutions to many industries since 1994. Drawing on the success of many software development ventures, Insula Group identified the need to construct a range of purpose-built solutions to better enhance business efficiency, and deliver process improvement to businesses.

The growing need to improve business practices in the construction and finance industries led Insula Group to develop a number of high quality client and work flow management software solutions for residential construction builders and finance brokers.

www.frameworkecm.com.au
www.thefinanceshop.net.au 
www.onsiteeye.com.au
 
Our software solutions are now used nationally by some of Australia's largest companies, with several of our systems in operation internationally over multiple countries.

Insula Group understands the importance of software meeting the specific needs of industry and our clients. We actively engage in both custom software development and customisation of core software products, and are specialists in systems integration. Additionally, the Insula team is continually looking for new opportunities where software support can improve a client's business experience.

Contact us to see how our products and services can benefit your business.",11-50 employees,2024-07-25 00:00:00,,400 Gb,"Customer and Client Data, Employee and HR data",BianLian
Transit Mutual Insurance Corporation,https://transitmutual.com,Insurance,"APPLETON, Wisconsin",United States,"Transit Mutual Insurance Corporation of Wisconsin is a not-for-profit mutual insurance corporation.  Located in Appleton, Wisconsin, we insure public transit vehicles owned by municipalities located throughout Wisconsin. ",2-10 employees,2024-07-04 00:00:00,,~400 Gb,"PII, Employee and HR data",BianLian
"Legend Properties, Inc.",https://lpre.com/,Real Estate,"Philadelphia, Pennsylvania",United States,"Legend Properties, Inc. is a full-service commercial real estate and brokerage firm serving eastern and central Pennsylvania, New Jersey and Delaware with more than 15 agents based in two offices. An affiliated company, Legend Florida, LLC, serves southeast Florida. Since 1990, Legend Properties has offered expert retail leasing, tenant representation, and investment sales services, as well as development consulting and transactional services for commercial land and buildings. The company also provides property management services through an affiliate, Legend Management Services, LLC. Legend Properties leads commercial real estate brokerage market share in the greater Philadelphia region.",,2024-07-04 00:00:00,,~400 Gb,"PII, Employee and HR data",BianLian
MEL aviation Ltd,,,"Crawley , West Sussex",,"Welcome!

MEL Aviation Components Ltd, specialises in the supply and management of rotable components for the commercial aviation market, with a particular focus and expertise in the support of Boeing, Airbus and Regional fleets. 
 
Our facility is located in Crawley next to London Gatwick, 35 minutes to London Heathrow airport. 

MEL Components provides nose to tail support solutions through its 24/7 AOG Desk to customers around the globe, 365 days a year. 

This family focused company is led by a reliable and committed team with considerable experience in the aviation industry, including component support services and MRO activities.
 
We understand and pride ourselves on offering a competitive, passionate and personal service to all customers, understanding each and everyones needs from assisting the everyday operations through to understanding and solving crucial AOGs. Aviation is constantly on the move so therefore we understand the flexibility that is needed to create an environment where customers choose to comeback time and time again.  
 
MEL Aviation Components are part of the prestigious MEL Group, headed up by our repair facility that specialise in the repair and overhaul of hazardous material across military and commercial platforms. This allows MEL Components to also provide an aftermarket solution utilising the expertise of our MRO business, therefore being able to offer competitive pricing and turnaround times on outright sales/exchange of hazardous material. In addition to our own in house capabilities we also offer a 3rd party repair solution. This service which we provide offers our customers a one stop repair solution cutting down the management of repairs for each customer. 
 
MEL Aviation Components Ltd hold the following certification:
 
ISO 9001 / ASA",11-50 employees,2024-06-21 00:00:00,,,,BianLian
Longview Oral & Maxillofacial Surgery,https://longviewoms.com,Dentistry,"Longview, Washington",United States,"OUR MISSION IS TO HELP PATIENTS LIVE HEALTHIER LIVES. WE PROVIDE A CARING, COMPASSIONATE ENVIRONMENT WHERE YOUR COMFORT AND HEALTH IS OF PRIMARY IMPORTANCE.",11-50 employees,2024-06-21 00:00:00,,2.5 TB,"PII, Employee and HR data, Databases, Sensitive Communication, Healthcare Data",BianLian
Dordt University,https://dordt.edu,,Iowa,,"Associated with the Christian Reformed Church, Dordt College was founded in 1955 in Sioux Center, Iowa and welcomes all students who are interested in a biblical, Christ-centered education. Today, as an accredited Christian liberal arts university, we're on a mission to cultivate the next generation of servant-leaders, who will saturate their relationships and communities with the Gospel of Jesus Christ.",201-500 employees,2024-06-13 00:00:00,,,,BianLian
ASI,https://asipartner.com,IT,"Fremont, CA",United States,"Founded in 1987, ASI Corp. is a national distributor of IT hardware and software products, maintaining a professional staff of nearly 500 employees and 9 sales/warehouse locations in the US and Canada. For over 30 years, ASI has continually taken a lead role in setting new standards in the distribution of IT solutions and value-add services. Today, ASI carries over 150 product lines and has over 10,000 of the most in-demand products.",201-500 employees,2024-06-28 00:00:00,,3.3 TB,,BianLian
"Wind Composite Services Group, LLC",https://windcomservices.com,"Electricity
Oil
Gas","Houston, Texas",United States,"WindCom provides wind blade services in North America and is the sister company with AdCom in South America.  Services include inspection, repairs and preventive maintenance for blades of any type.  Wind Com differentiates itself from other blade service companies with:
Ä¢         e-reporting system- The techs upload their daily documentation & photos.  Engineering reviews following our QA system At the end, the customer has access to the reports with a click of the mouse. 
Ä¢         The most access methods available- Depending on the job: rope access, small work cage, and two different types of 360 platforms which allow for access on all sides of the blade at once.  These are good for 13m/s winds which keeps us working
Ä¢        Work Instructions-Every blade repair has work instructions issued by engineering.  If changes need to be made, only engineering can make the changes and approvals.
Ä¢         Written rigging plan for each turbine-  If we encounter a new turbine, our EHS manager will visit the site before the crew arrives and develop the work instructions for rigging.  Again the techs do not decide on the rigging method. 
Ä¢         Training/certifications-All technicians are trained in house to comply not only with industry standards of safety but WindCom's more thorough courses.  After safety training hands on composite training is orchestrated by the engineering department.  The techs are the best trained in the industry.  Opportunities for advancement are available with additional training and experience..",51-200 employees,2024-05-25 00:00:00,,412 GB,"Employee and HR data, Sensitive Communication",BianLian
Payne & Jones,,,"Overland Park, Kansas",,"Payne & Jones provides a full range of business and legal services to its clients.  We are committed to providing value to our clients by delivering the highest quality legal services.  Our firm emphasizes prompt, efficient, and effective response to our clients changing day-to-day needs. We are confident this more practical approach is unique in the legal field and is a primary reason we look forward to celebrating the firms 100th year serving individuals and businesses across the region.

The guiding principle of Payne & Jones approach is flexibility.  This enables us to quickly marshal the legal talent and resources necessary to confront any situation in the interest of our clients.  This proven approach allows our law firm to allocate those resources, and only those resources, necessary for the task.  This process allows more effective client representation, personal interaction, exceptional service, and assures that the cost of legal services is minimized through individualized client representation.  

Our commitment to providing quality legal services is also reflected in the demonstrated leadership and exceptional academic achievement of our attorneys. ",11-50 employees,2024-05-25 00:00:00,,,,BianLian
National Publisher Services LLC,https://npsmediagroup.com,Media,"Shelton, CT",United States,NPS Media Group provides a broad range of print and digital solutions to help media companies succeed in an ever more complex and challenging marketplace.,2-10 employees,2024-05-25 00:00:00,,715 GB,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
Elite Limousine Plus Inc,https://eliteny.com,Transportation,"Long Island City, New York",United States,"Elite Limousine is a global chauffeur service based in Long Island City, NY with operations in over 600 cities across 60 countries. With one of the largest fleets of late model vehicles and core of professional chauffeurs we provide reliable and superior service, second to none. Our Customer Service Team is available to answer all queries 24/7 at (1-888-999-LIMO). We offer fixed, flat, all-inclusive rates for both personal and business rides - we've been trusted by number Fortune 500 companies for more than 3 decades. Book online, with our call center, or through our IOS/Android apps.",51-200 employees,2024-06-07 00:00:00,,1.8 TB,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
Critchfield & Johnston,,Legal,"Wooster, OH",,"Critchfield, Critchfield & Johnston, Ltd., through our attorneys and staff, is dedicated to providing superior solutions for our clients. We accomplish this by consistently delivering quality legal services, in a timely manner, at a fair value, with the highest ethical standards.",51-200 employees,2024-05-21 00:00:00,,,,BianLian
Clinica de Salud del Valle de Salinas,,Healthcare,California,,"Clinica de Salud del Valle de Salinas (CSVS) is dedicated to providing access to quality comprehensive health care to men, women and children with an emphasis on farm worker families and the agricultural community. ",300 employees,2024-05-01 00:00:00,,,,BianLian
Nikolaus & Hohenadel,https://n-hlaw.com,Legal,"Lancaster, PA",,"Nikolaus & Hohenadel, LLP is a mid-size Lancaster County law firm serving individuals, businesses and families throughout South Central Pennsylvania. The firm began as a two person partnership between Donald Nikolaus and Jack Hohenadel in 1972 and has grown to its present size with offices located in Lancaster, Columbia, Elizabethtown and Quarryville, Pennsylvania.

Our firms mission is to provide quality legal services efficiently and in a timely manner to our clients.",11-50 employees,2024-05-06 00:00:00,,,,BianLian
MAH Machine,,,"Cicero, IL",,"MAH Machine Co., Inc. is headquartered in Cicero, Illinois, with over 125,000 square feet. MAH Machine is a privately held machine shop specializing in the graphics arts industry. 

MAH has new state-of-the-art equipment including: CNC Boring Mills, CNC Turning and Milling machines, Gear Cutting, Manual Milling, Manual Turning, Welding, Grinding, Balancing and other miscellaneous machines that can handle a vast majority of projects. For that reason, MAH can be very competitive with large capacity work; but, can also do prototype or one-of-a-kind work. 

The company goal is to ship your product on-time and supply you with the highest quality for a reasonable price.",51-200 employees,2024-05-21 00:00:00,,227 GB,"Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
Texas Retina Associates,https://texasretina.com,Healthcare,"Dallas, TX",United States,"Established in Dallas in 1966, Texas Retina Associates, with 15 offices throughout the state, is North Texas' largest, most experienced ophthalmology practice focused specifically on the diagnosis and management of diseases of the retina and vitreous, including macular degeneration and diabetic retinopathy.  Training at some of the country's top medical institutions, all 16 of our physicians completed fellowships in retina care, and many have sub-specialized further to treat even the  most challenging retina conditions like uveitis and ocular oncology.  Texas Retina Associates also actively participates in clinical research, including more than 100 national clinical trails over the past 25+ years, to bring the latest sight-saving treatments to our patients.  ",51-200 employees,2024-04-22 00:00:00,,,,BianLian
Mountjoy,https://mountjoy.co.uk,Construction,"Portsmouth, Hampshire",United Kingdom,"Mountjoy provides professional and high quality construction, refurbishment, building maintenance and facilities management services.
With a track record spanning 25 years we have established ourselves as one of the most open, honest and versatile companies in the industry Äì which is reflected in our long-term client relationships and a high level of customer satisfaction.
Mountjoy serves our clients through two divisions Äì one focused on delivering construction and refurbishment projects the other on providing building maintenance and facilities management services. 
We employ over 300 staff ranging from professional project managers, estimators and quantity surveyors through to skilled tradespeople including carpenters, plumbers, electricians, and roofers. We have offices in Portsmouth, Isle of Wight, Southampton, Horsham and Winchester. We are registered with industry bodies such as CHAS, Constructionline, Safecontractor, NICEIC and Gas Safe.",201-500 employees,2024-06-15 00:00:00,,,"PII, Customer and Client Data, Employee and HR data",BianLian
Central Carolina Insurance Agency Inc.,https://www.centralcarolina.com,Insurance,"Salisbury, North Carolina",United States,"Central Carolina Insurance Agency is an independent insurance firm that began operations in Rowan County in 1931, and the organization grew in the 1980s with an expansion into Mooresville. In  2017 we added R3; Risk, Reduction Resources to our firm to diversify Central Carolinas tenure and clout in the insurance industry and to promote a more holistic approach to risk management.",11-50 employees,2024-04-09 00:00:00,,500 GB,"PII, Employee and HR data, Sensitive Communication",BianLian
Center for Digestive Health,https://www.cdhorlando.com,Healthcare,"Orlando, Florida",United States,"The Center for Digestive Health focuses on disorders related to the digestive system, including both short-term conditions and chronic, lifelong diseases. These conditions may involve the liver, stomach, colon, small intestine, gallbladder, or pancreas. State of the art diagnostic techniques are utilized in our Endoscopy Center and at affiliated hospitals. Outpatient care is delivered in our clinical center and infusion center, and our doctors provide 24 hour/7 day a week coverage to our affiliated hospitals. The Center for Digestive Health participates in Medicare and every major managed health care plan in Orange, Seminole, Osceola and Lake counties.",51-200 employees,2024-05-18 00:00:00,,2.2 TB,"PII, Employee and HR data, Sensitive Communication, Healthcare Data",BianLian
Len Dubois Trucking,https://www.lenduboistrucking.com,Logistics,"Centreport, Manitoba",Canada,"Len Dubois Trucking is a Dry Van and Step Deck carrier based in Winnipeg, MB. We specialize in multi stop, driver assist direct to customer shipments both across Western Canada and the U.S. Our satellite tracked fleet consists of both Company and Owner Operator trucks. We are Canada and U.S. Customs bonded, C-TPAT, PIP, CSA, and FAST approved. We are also a hazardous goods carrier and provide warehousing and cross dock service in Winnipeg, MB",51-200 employees,2024-04-17 00:00:00,,300 GB,"PII, Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
"GMJ & Co, Chartered Accountants",https://gmjca.com,Accounting,"Mumbai, Maharashtra",India,"GMJ & CO is a consumer services company based out of 3rd & 4th Floor, B-Wing,Vaastu Darshan,Azad Road,Above Central Bank of India,Andheri (East), Mumbai, Maharashtra, India.",51-200 employees,2024-05-15 00:00:00,,110 GB,"PII, Employee and HR data, Sensitive Communication",BianLian
