Company Name,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
Isikeli Tikoduadua,null,null,null,null,null,null,null,null,172
Primăria Municipiului Timișoara,*,"Timișoara, Timiș",România,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eprimariatm%2Ero&urlhash=tLNW&trk=about_website,Government Administration,"501-1,000 employees",null,Public Company,"1,276"
MINEDUC - Ministerio de Educación - Guatemala,MINEDUC - Ministerio de Educación - Guatemala is a company based out of Guatemala.,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emineduc%2Egob%2Egt&urlhash=J0Ta&trk=about_website,null,null,null,null,null
Swinburne University of Technology,"Swinburne University of Technology is a world-class university creating social and economic impacts through science, technology and innovation. In 2022, Swinburne ranked in the top 250 global universities in the Academic Ranking of World Universities (ARWU), confirming its place in the top 1% of universities worldwide. Swinburne confirmed its place in the top 50 universities in the world under 50 years old, rising twelve places in the 2022 Times Higher Education (THE) Young University Rankings. 

We're a large and culturally diverse organisation with a desire to innovate and bring about positive change. Swinburne offers undergraduate and postgraduate courses, vocational education and research qualifications. We have three campuses located in the eastern suburbs of Melbourne — at Hawthorn, Croydon and Wantirna, as well as a fourth campus in Sarawak, Malaysia. The National Institute of Circus Arts is located in Prahran, Melbourne and we also offer a range of qualifications online through Swinburne Online and Open Universities Australia. In 2019, we unveiled new locations in Sydney and Vietnam and also opened an office in Nanjing, China – further connecting us to some of the fast-growing regions in the world.

Join the conversation, follow us on:
Facebook: https://www.facebook.com/swinburneuniversityoftechnology
Twitter: @Swinburne
Instagram: @Swinburne
TikTok: @SwinburneUniversity
YouTube: https://www.youtube.com/channel/UCzA9KPphNMJEK1J4gWebNQQ

Swinburne University of Technology: https://www.swinburne.edu.au/
Jobs at Swinburne: https://swinjobs.nga.net.au/cp/index.cfm?event=jobs.home

Swinburne University Sarawak, Malaysia campus: https://www.swinburne.edu.my/
For jobs at our Sarawak campus: https://www.swinburne.edu.my/hr/search-apply.php

CRICOS provider code: 00111D
Training Organisation Identifier (TOID): 3059
TEQSA PRV12148 Australian University",Melbourne,Australia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eswinburne%2Eedu%2Eau%2F&urlhash=J0kV&trk=about_website,Higher Education,"1,001-5,000 employees","Undergraduate, Postgraduate, TAFE, Industry training, Consultancy, Staff training, Employee enagagement, Short courses, Online courses, Industry-Based Learning, and Research",Educational,null
"Indraprastha Institute of Information Technology, Delhi","The Indraprastha Institute of Information Technology Delhi (IIIT-Delhi) was created as a State University by an act of Delhi Government, empowering it to do research and development and grant degrees.

The mission of IIIT-Delhi is to be a global centre of excellence in Information Technology education, training and research. Its twin aims are:

    * To carry out advanced research and development in information and software technologies, and in leveraging IT in specific domain areas.
    * To train and educate, at both undergraduate and postgraduate levels, engineers of outstanding ability who can become innovators and new product creators.

It aims to encourage innovation and entrepreneurship in specified domain areas of IT. Towards this end it plans to organize itself as a conglomerate of R&D Centers, some of which would be in partnership with different companies and global organizations. All centers will also be engaged in teaching and thesis guidance. These centers, with various labs, will be the hub of activity, with active contribution from faculty and students—BTech, MTech and PhD.",New Delhi,India,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eiiitd%2Eac%2Ein%2F&urlhash=EXti&trk=about_website,Higher Education,51-200 employees,Information Technology education and training and research,Educational,null
"Ramón Corripio Sucesores, S.A.S.","Leader wholesale distribution company of hardware and home products. We distribute under authorization or exclusively prestigious brands, such as Truper, Bellota, Tramontina, Havaianas, Yale, Stanley, Black + Decker, Dewalt, Irwin, Teka, Coflex, WD-40, Phelps Dodge, Sayco, iTap, among others.","Santo Domingo, D.N.",Argentina,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eramoncorripio%2Ecom%2Fnosotros%2F&urlhash=TtWw&trk=about_website,Wholesale,51-200 employees,ecommerce,Privately Held,"1,093"
Timor Telecom,"Timor Telecom (TT), the Fixed and Mobile Telecommunications Network operator of Timor-Leste, was practically born from scratch after the telecommunications infrastructure of the country were destroyed in September 1999. In 2001, still under the auspices of UNTAET (UN administration), an international tender for construction of a Telecommunications system in Timor-Leste was launched under the BOT regime (Build, Operate, Transfer). In July 2002, the Timor Telecom consortium (promoted by Portugal Telecom) won the bid, and signed the respective Concession Agreement between the State of the Democratic Republic of Timor-Leste and Timor Telecom. On the 17th of October the Timor Telecom consortium became official as Timor Telecom, SA – the first corporation formed in the country. On 1st of March 2003, Timor Telecom started its operations (Dili Los Palos, Baucau and Oecusse).
13 years later, Timor Telecom is a dynamic and a solid company that has surpassed various challenges and has always accompanied the Timorese people on their journey since the Restoration of Independence.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Etimortelecom%2Etl&urlhash=A6DV&trk=about_website,Telecommunications,201-500 employees,null,Public Company,null
la Cité internationale de la bande dessinée et de l'image,"Fruit de l’étroite collaboration entre le département de la Charente, le ministère de la Culture et de la Communication, la ville d’Angoulême et la région Poitou-Charentes, la Cité internationale de la bande dessinée et de l’image réunit un musée de la bande dessinée, une bibliothèque patrimoniale, une bibliothèque publique spécialisée, un centre de documentation, une résidence internationale d’artistes (la maison des auteurs), une librairie de référence, un cinéma de deux salles d’art et essai et de recherche, un espace de consultation Internet, un centre de soutien technique multimédia et une brasserie panoramique.

--

La Cité internationale de la bande dessinée et de l'image was born from a cross-collaboration between the Charente County council, the French ministry of Culture and Communication, the city of Angoulême and the Poitou-Charentes region. It includes a museum, a heritage library, a specialized public library, a documentation centre, an international artists' residence (la maison des auteurs), a high standard reference bookshop, a two-screen art house cinema, an Internet consultation point, a technical multimedia support centre and a panoramic restaurant.

La Cité is housed in three buildings along the Charente river or overlooking it, it is located at the heart of the image centre developed in the département which contributes to the national and worldwide popularity of Angoulême as the world's city of comics.",Angoulême,France,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ecitebd%2Eorg&urlhash=R4SX&trk=about_website,"Museums, Historical Sites, and Zoos",51-200 employees,"musée, bibliothèque, librairie, résidence d'auteurs, cinéma, bande dessinée, culture, and patrimoine",Government Agency,null
Oceanside Glasstile,"We are a living mosaic of passion and prowess, bonded together with sweet crazy mojo.

WE ARE ARTISANS whose profession is also a passion, lovingly expressed in the time-honored practice of glass making. United by the power of beauty and art, of nature and fire (and surfing, and beer, and basketball...), we enhance the splendor of your home with tiles handmade by fanatical craftsmen.

WE ARE ARTISTS consumed by the allure of timeless design, devoted to the creation of pieces that dazzle, that charm, that seduce and inspire. We pledge to raise glasswork to the level of artwork with each tile we hand-forge and polish.

WE ARE GUARDIANS of this precious blue planet that serves as our home — so we craft tiles from glass we reclaim. And because efficiency’s a vital concern, we continuously review our manufacturing and business practices to find ways to reduce our energy footprint.

WE ARE GOOD NEIGHBORS, extending a hand to others that need it. By restoring orphanages, building schools, planting trees and supporting the local community, we not only improve the world that surrounds us, but we get to boogie in the glow of good karma that follows.

WE ARE CRAZY about glass. We’re crazy about tile. We’re crazy about things made with purpose. And, needless to say, we love this gem-like substance that sparkles in sunlight, especially if it turns out to be — you guessed it — glass tile. We’re crazy for surf days, we’re crazy for beach nights, we’re crazy for dog beach and wide-open beach hikes…","Carlsbad, CA",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eglasstile%2Ecom&urlhash=YZhE&trk=about_website,"Glass, Ceramics and Concrete Manufacturing",201-500 employees,"Hand Cast Glass Tile, Luxury Design, Sustainable tile, Handcrafted, Pool tile, Kitchen Backsplash, Floor tile, Bathroom Tile, Decorative Tile, Custom Tile, Landscape Design products, Interior Design Products, Commercial Design Products, Properly Annealed Glass Tile, Swirling Art Glass Sheets, Fusible Glass Products, Stained Sheet Glass Products, Spectrum Glass Products, and Uroboros Glass Products",Privately Held,"2,335"
"Rainier Arms, LLC","Rainier Arms was started by enthusiasts for enthusiasts. We specialize in high end AR15s/M16s, parts & accessories. ""If we won't use it, we won't sell it."" Founded in 2005, Rainierarms.com already has more than 6000 unique products, and growing. Our technical advisory team consists of enthusiasts, law enforcement, & military personnel that continue to make our offerings unique and desirable in the market place.","Auburn, Washington",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Erainierarms%2Ecom&urlhash=FZMY&trk=about_website,Defense & Space,51-200 employees,"firearms, glock, sig sauer, ar15, optics, accessories, sharps bros, nomad defense, defense, training, online sales, distribution, and marketing",Privately Held,"1,222"
CHWA,"CHWA est une société de consulting spécialisé dans les domaines de la finance, de l'ingénierie, des NTIC et du tourisme exclusivement réservé au marché haïtien, qui a besoin de professionnels pour développer son économie. CHWA met l'accent sur la compétence, l'expérience, les connaissances du candidat peu importe son appartenance sociale dans la société haïtienne.

CHWA is a consulting company specialized in  finance, engineering, new technologies and tourism exclusively reserved to the haitian market that is in need of prfoesionnal individuals to help in the development of its economy. CHWA underlines the skills, the experience and the knowledge of its candidate regardless his or her social class in the haitian society.

CHWA se yon entrepriz kap chaché moun moun ki espécializé nan domèn finans, injenyè, teknologi, touris espesyalman pou maché ayisyen an ki bezwen pwofésyonèl pou dévlopé ékonomi li a. CHWA souliyé impotan konpetans, eksperyans, konésans kandida li yo nempot koté yo soti nan sosyete ayisyèn lan.","GANTHIER, OUEST",Ayiti,null,Staffing and Recruiting,2-10 employees,"Consulting, finance, NTIC, Ingénierie, Tourisme, Haiti, Performance, Banque, Assurance, Contrôle de Gestion, Comptabilité, Génie civile, Communication, and Technologie",Self-Owned,5
Polyco Healthline,"Polyco Healthline is a leading provider of protection and hygiene products and services in the workplace and home.
 
Formed from the merger of Polyco and HPC Healthline, we design, source, license and sell products across the supply chain to ensure a cleaner and safer environment.","Bourne, England",United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Epolycohealthline%2Ecom&urlhash=kRn5&trk=about_website,Manufacturing,201-500 employees,"Plastic Reduction, PPE, Health & Safety, Consultancy, Gloves, Protective Handwear Specialist, Medical Supplies, Routes To Market, and Sourcing",Privately Held,"2,789"
Djibouti Ports and Free Zones Authority,"Welcome to the official LinkedIn page of Djibouti Ports and Free Zones Authority (DPFZA)!

🌍 About Us:
At DPFZA, our mission is highlighting Djibouti's projects at the forefront of facilitating global trade and fostering economic growth in the East African region. Our strategic location along major shipping routes, world-class port infrastructure, and commitment to innovation make us a pivotal player in international trade and logistics.

🚢 Our Ports:
Explore the dynamic world of Djibouti's ports, and the vibrant business community of stockholders. Our state-of-the-art facilities are the gateway for trade, connecting businesses to markets across Africa, Asia, and Europe.

🌟 Free Zones:
Discover the opportunities in our free trade zones, where businesses thrive in a competitive and investor-friendly environment. We provide the ideal platform for companies seeking to expand their footprint and access global markets.

🌐 Our Vision:
We envision a future where Djibouti remains a beacon of economic prosperity in the Horn of Africa. Our commitment to excellence, sustainability, and security ensures that we continue to drive progress for our nation and the region.

🤝 Join Us:
Connect with us to stay updated on the latest developments, industry insights, and career opportunities at DPFZA. Together, we can shape the future of trade and logistics in East Africa.

Follow our page, engage with our content, and be part of the conversation as we embark on this exciting journey of growth and innovation.

#DPFZA #Trade #Logistics #Investment #EconomicGrowth #EastAfrica #DjiboutiPorts",Djibouti,Djibouti جيبوتي,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2FDpfza%2Egov%2Edj&urlhash=CSdC&trk=about_website,"Transportation, Logistics, Supply Chain and Storage",51-200 employees,null,Government Agency,null
SPIE TEC GmbH,"Shape the future of your company together with us!
Worldwide and experienced
All-round expertise
Fixed schedule, fixed price
safe & certified
TEC GmbH is your partner for relocations, installations, maintenance and modernisation work as well as engineering services. With our experienced, qualified and certified team, we make an important contribution to the business success of our customers. Our employees stand for outstanding technical services, reliability and internationality – across all industries! Our local teams and our worldwide network of branch offices and suppliers enable us to work for you quickly, flexibly, inexpensively and with high quality. Just contact us! You thereby benefit from our experienced, qualified and certified project managers, mechanical engineers, process engineers, design engineers, construction supervisors, mechanics and electricians, who will ensure the successful realisation of your projects.

Our broad range of international cooperation partners also helps us to offer you additional on-site services at any time. High motivation, independent working and the ability to react flexibly to each situation make our team your strong partner.

Among the permanent integral parts of our corporate objectives are the working safety of the employees, the safety of the plant and the quality of the work performed. Therefore, our employees work according to the SCC guidelines on work and plant safety and according to the regulations of the quality management system DIN EN ISO 9001:2008.

Sustainability plays an important part in each and every one of our projects, because resource-preserving action is not a purely ecological goal, but rather helps to save costs and thus to secure profits on a long-term basis. Take the first step towards successful cooperation and contact us! We will be pleased to advise you and we look forward to successful cooperation.",Dormagen,Deutschland,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Espie-tec%2Ede&urlhash=7EhG&trk=about_website,Construction,51-200 employees,"Engineering, Installation, Relocation, and Construction",Privately Held,null
Mark Harris,null,null,null,null,null,null,null,null,50
Smart ERP Solutions Inc.,"Our Mission
Our mission is to provide innovative, configurable, flexible, cost-effective solutions to common business challenges, enabling our clients to save time, increase productivity, minimize costs, and maximize their return on investment.

What We Do
Founded by Oracle/PeopleSoft veterans, Smart ERP Solutions® is a unique organization in the Enterprise Business Applications space providing innovative, cost-effective, and configurable solutions that efficiently extend the capabilities of ERP systems to meet specific business process needs. SmartERP enables clients to seamlessly integrate their people, processes, applications, and data, across an enterprise, enabling the organization to streamline its operations and support business growth.

Solutions
Business applications that offer organizations an end-to-end solution
providing the right design and implementation from start to finish.

Services
A 24/7 seasoned and experienced staff of experts to help you implement your business solutions efficiently and effectively at a cost-effective rate.

Cloud
Cloud applications provide solutions built on proven enterprise class
architecture that enable high configurability and ease of monitoring.","Pleasanton, California",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esmarterp%2Ecom&urlhash=Nq1x&trk=about_website,Information Technology & Services,201-500 employees,"PeopleSoft, Add-On Solutions, Employee Onboarding, Cloud Implementation, Oracle, JD Edwards, BI and Analytics, Lift and Shift, Security, Compliance, Segregation of Duties, ERP Maintenance, ERP Consulting, Infrastructure as a Service, and ERP Upgrades",Privately Held,"3,556"
Alabama Plate Cutting Co,"Alabama Plate Cutting Company offers a wide variety or steel plate processing and steel plate cutting services to Alabama, Tennessee, Georgia, Mississippi, and Florida.","Saginaw, Alabama",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ealabamaplate%2Ecom&urlhash=Hg84&trk=about_website,Mining,11-50 employees,null,null,283
PRASARANA MALAYSIA BERHAD,"About Prasarana Malaysia Berhad

Prasarana Malaysia Berhad (“Prasarana”) is a wholly-owned Government company established by the Ministry of Finance, set up to facilitate, undertake and expedite public infrastructure projects approved by the Government. Prasarana and its group of companies are asset-owners and operators of several public transport services, namely the LRT Ampang/ Sri Petaling and LRT Kelana Jaya lines, the KL Monorail system, as well as bus operations in Klang Valley, Penang and Kuantan. 

The operations of these public transport systems are under the purview of Prasarana’s subsidiaries Rapid Rail Sdn Bhd (Rapid Rail) and Rapid Bus Sdn Bhd (Rapid Bus) under the Rapid KL brand name. 

Rapid Rail are also operators of the two MRT lines – the Kajang Line and the Putrajaya Line. The company operates and maintains the urban rail services, covering 149 stations over a span of 205 km in total.

Rapid Bus operates in the Klang Valley, Penang, and Kuantan, operating under the brands Rapid KL, Rapid Penang, and Rapid Kuantan respectively. In addition to their regular bus services, the company also operates BRT in Bandar Sunway, and feeder buses that serve LRT and MRT stations.

Prasarana is also currently developing a third LRT system – the LRT Shah Alam Line – which is scheduled to commence revenue operations in the first quarter of 2025.",Kuala Lumpur,Malaysia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eprasarana%2Ecom%2Emy&urlhash=PH6Y&trk=about_website,"Transportation, Logistics, Supply Chain and Storage","10,001+ employees","Infrastructure Development, Rail & Bus - Operation and Maintenance, Project Management, Property Development, O&M Engineering Consultancy, and Rail & Bus Academy",Government Agency,null
General Authority for Military Industries (GAMI),"The General Authority for Military Industries (GAMI) was established by a resolution of the Council of Ministers in Dhu Al-Qi'dah 1438 AH, equivalent to August 2017 AD, recognizing the significance of the military industries sector in the Kingdom and its role in national security. This authority serves as the official entity for the sector, tasked with regulation, development, and performance monitoring.

In collaboration with public and private sector partners, GAMI works to support the localization and growth of the military industries sector, increase the capability of national military manufacturing, and contribute to achieving localization targets by 2030. The authority's ultimate goal is to achieve a localization rate of over 50% of the kingdom's total military spending by 2030, thereby enhancing the kingdom's independence, military readiness, and security.",null,null,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fgami%2Egov%2Esa&urlhash=p9Qj&trk=about_website,Defense and Space Manufacturing,51-200 employees,null,Government Agency,null
Banham Poultry (2018) Limited,"Local Norfolk poultry producer processing over 950,000 birds per week.","ATTLEBOROUGH, Norfolk",United Kingdom,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ebanhampoultry%2Eco%2Euk%2F&urlhash=SGOj&trk=about_website,Food and Beverage Manufacturing,"1,001-5,000 employees",Poultry and Food Production,Privately Held,"2,496"
"Capital Fund 1, LLC","For over a decade, Capital Fund 1 has partnered with hundreds of real estate investors to provide them the capital they need. With over $4 billion in loans funded throughout the western US, we have built a reputation as a premier hard money lender. From the traditional fix and flip financing to specialized bridge loans, our loan menu is reflective of the growing real estate markets in areas we serve. Our team is experienced in offering competitive bridge, acquisition, and construction loan programs for your land, residential and commercial real estate investments. As a value add to our borrowers, the CF1 team is equipped to examine, underwrite, process, and fund properties within 24 business hours - all while keeping rates and fees competitive. 

Beyond being a capital partner, we have invested heavily in helping real estate investors grow their business. In the couple years, we've built our proprietary underwriting software from the ground up to better protect our investor dollars and borrowers' businesses. In 2021, we released those tools to the public at no cost. An example of our commitment to the real estate community.
(BK - 0917799/NMLS #396288)","Scottsdale, Arizona",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2ECapitalFund1%2Ecom&urlhash=_xJ2&trk=about_website,Real Estate,51-200 employees,"Fix and Flip Loans, Trustee Sale Loans, 24 Hour Funding, Land and Construction Loans, Commercial Bridge Loans, Asset Based Lender, private lending, REIT, Hard Money, Private Money, Investment Properties, and Real Estate Investing",Privately Held,"1,833"
Blower-Dempsay Corporation,"Founded by the Blower and Dempsay families as a corrugated box sheet plant in 1973, Pacific Western Container later formed sister company, Pak West, as our paper and packaging distribution arm.

In 1995, the packaging systems division was created, followed by the acquisition of Pacific Conveyor Systems, the custom conveyor manufacturing and engineering division. Later came the recycling division, an automated guided vehicle division, and a graphic arts department.

Our latest development is Pacific Flexible Solutions, or PacFlex, designers, importers and/or manufacturers of direct food contact films and containers. We have also expanded out of our Orange County headquarters to nine states in the Western US and beyond while keeping our family first values and entrepreneurial spirit.","Santa Ana, California",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fblowerdempsay%2Ecom%2F&urlhash=Qs8U&trk=about_website,Packaging & Containers,51-200 employees,null,Privately Held,479
inLighten,"inLighten is the leading provider of digital media solutions including traditional and interactive digital signage, self-service kiosks, video walls, check-in solutions, on-hold and environment audio and more. inLighten’s intuitive, cloud-based management system enables creation, scheduling and distribution of dynamic content from inLighten’s hosted network.  Over 2,000 institutions in the U.S. and across the world engage their audiences with inLighten products each day.","Clarence, New York",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Einlighten%2Enet%2F&urlhash=d2bu&trk=about_website,Broadcast Media Production and Distribution,51-200 employees,Digital Signage,Privately Held,779
