Company_Name,Website,Industry,HQ,Country,Description (Linkedin),Company Size,Date_Victimsed,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
W.P.J. MCCARTHY AND COMPANY,http://www.wpjmccarthy.com/,Real Estate,"Burnaby, BC",Canada,"W.P.J. McCarthy and Company is a privately owned full service real estate firm specializing in the purchase, conception, development, leasing, and management of our own privately held commercial real estate portfolio. As Landlords, we pride ourselves on working with our Tenants, trades, and other partners, to develop and manage properties that provide the communities we work in with great services and economic benefits.",2-10 employees,"JUL 5, 2024",10545,70,"['Employee and HR data', 'Legal Documents']",Qilin
THOLEN BUILDING TECHNOLOGY GROUP,http://www.tholen-gebaeudetechnik.de/,Construction,Geilenkirchen,Germany,Tholen Gruppe is a company that operates in the Building Materials industry. ,,"JUL 5, 2024",9585,344,"['Customer and Client Data', 'Utility and Infrastructure Data']",Qilin
WILLIAMSRDM.COM,http://www.williamsrdm.com/,Manufacturing,"Fort Worth, Texas",United States,"WilliamsRDM, Inc., is a woman-owned, privately held small business known for its innovative product development and short-run, high-complexity precision manufacturing. Located in Fort Worth, Texas, the company develops and manufactures more than 200 unique productsâall designed in house for the aerospace, defense, and energy sectors. Among the many leading companies in these industries, WilliamsRDM has worked with Lockheed Martin, Boeing, Halliburton, and Northrop Grumman. Many of the USAâs most respected military aircraftâthe A-10, F-15, F-16, F-18,  F-22, F-35, and V-22âuse WilliamsRDM test equipment, cabling, and connectors to keep them flying. The company is also proud to manufacture a simple, affordable line of residential fire suppression products âStoveTop FireStopâthat protects more than a million American families each day.

For fifty years WilliamsRDM has been an example of ingenuity and can-do spirit in the heart of Fort Worth, Texas. We believe in American exceptionalism because we walk that walk every day. Weâve proven you donât have to be big to do big things, and weâd challenge you to find any other company our size with the engineering and manufacturing capabilities we field under one roof. The hundreds of innovative products weâve developed and manufactured for the likes of Lockheed Martin, Boeing, Northrop Grumman, and Halliburton say a lot about our competence in design innovation and high-complexity, short run, precision manufacture. The test equipment, cables, connectors, intelligent mobile power grid and other solutions weâve designed for defense, energy, and fire suppression attest to our capabilities. When others in our business wouldnât dare assume the risk, we put our money where our mouth is, funding development of our own proof-of-concept prototypes. Weâve earned our reputation: â...when others canât or wonât... Williams will!â",51-200 employees,"JUL 5, 2024",9490,104,['Intellectual Property'],Qilin
INFORIUS,http://www.inforius.be/,IT Services ,Gembloux,Belgium,"Consultance informatique, Audits informatiques,Missions dâexpertise

Inforius dispose de spÃ©cialistes et dâexperts passionnÃ©s par les nouvelles technologies qui mettent leur savoir-faire et leur expÃ©rience Ã  votre service. A lâÃ©coute de vos besoins, ils analyseront en dÃ©tail vos attentes et vous aideront Ã  choisir le produit qui rÃ©pond rÃ©ellement Ã  vos besoins ou vous proposeront des solutions sur mesure. Inforius se chargera Ã©galement de lâimplÃ©mentation des solutions informatiques, de la documentation et du suivi.

Notre consultance peut prendre diffÃ©rentes formes :

Audits techniques, analyse de faisabilitÃ© ou prÃ©-Ã©tudes de projets ;
Conception dâune infrastructure rÃ©seau : conseil et conception du plan de dÃ©ploiement ;
Conduite du projet : assistance Ã  la maÃ®trise de lâouvrage, conseil en matiÃ¨re de pilotage opÃ©rationnel, etc.

Inforius propose une gamme de produits Ã  destination des administrations",11-50 employees,"JUL 5, 2024",9397,45,['unknown'],Qilin
INTUITAE,http://www.intuitae.com/,Financial Services,Paris,France,"Depuis 2001, nous conseillons les familles fortunÃ©es soucieuses de pÃ©renniser leur patrimoine et de le transmettre aux gÃ©nÃ©rations futures.",11-50 employees,"JUL 5, 2024",9093,40,['Customer and Client Data'],Qilin
MUNICIPALITÃ LA GUADELOUPE,http://www.munlaguadeloupe.qc.ca/,Government Administration,La Guadeloupe,Canada,Municipalit La Guadeloupe is a company that operates in the Government industry. It employs 10to19 people and has 5Mto10M of revenue.,11-50 employees,"JUL 5, 2024",5942,7,"['Financial Data', 'Employee and HR data']",Qilin
CONSULTING RADIOLOGISTS,http://www.consultingradiologists.com/,Healthcare,"Edina, MN",United States,"Consulting Radiologists, Ltd. (CRL) is a physician-owned practice serving patients and providers throughout the upper Midwest for more than 90 years. We provide on-site services at more than 27 hospitals and clinics, and also provide teleradiology services to more than 60 healthcare organizations throughout the Upper Midwest.

CRL is a leader in outpatient imaging with four imaging centers. We are trusted to deliver a complete range of radiology services to the healthcare community. All CRL locations are ACR accredited.

IMAGING CENTER LOCATIONS:

CRL Women's Imaging
CRL Imaging 
Southdale Medical Building
6525 France Avenue South | Suite 110 | Edina, MN 55435
(952) 915-4320

LifeScan Minnesota
Southdale Medical Center
6545 France Avenue South | Suite 115 | Edina, MN 55435
(952) 893-1997",201-500 employees,"JUL 5, 2024",3550,70,"['Employee and HR data', 'Healthcare Data']",Qilin
MCSWEENEY / LANGEVIN,http://www.westrikeback.com/,Legal Services,Minnesota,United States,"McSweeney / Langevin has one purpose - helping the injured.  We do this by making sure victims and victims' families are adequately compensated for wage loss, medical expenses and pain and suffering.

There is no need for victims to deal with the stress and anxiety alone.  We will be there every step of the way to ensure you are treated fairly, your rights are protected, and you are compensated.",11-50 employees,"JUL 5, 2024",3606,274,"['Financial Data', 'Legal Documents']",Qilin
FIAB SPA,http://www.fiab.it/,Manufacturing,"Vicchio, Florence",Italia,"FIAB is a medical device company that for over 40 years has been manufacturing products and solutions for cardiac pacing, electrophysiology, ecg, electrosurgery, oxygen-therapy, electro-therapy. FIAB is located in Vicchio, Firenze, Italy and distributed in over 100 countries.",201-500 employees,"JUL 5, 2024",3637,118,"['Financial Data', 'Employee and HR data']",Qilin
PFAM,http://precisionflange.com/,Manufacturing,Texas,United States,"Precision Flange & Machine is located in Houston, Texas. We are a company dedicated to producing the highest quality product, at the best price",2-10 employees,"JUL 5, 2024",3530,144,['unknown'],Qilin
LOGIMODAL OPERAÃÃES LOGÃSTICAS,http://www.logimodal.com.br/,Agriculture,"SÃ£o Francisco do Sul , SC",Brasil," LOGIBRAS, atuando hÃ¡ mais de 12 anos no mercado logÃ­stico de SÃ£o Francisco do Sul/SC, em 2020 alterou sua razÃ£o social para LOGIMODAL OPERAÃÃES LOGÃSTICAS LTDA.

A alteraÃ§Ã£o da denominaÃ§Ã£o social, nome e logomarca vem consolidar a atuaÃ§Ã£o da empresa em serviÃ§os logÃ­sticos complexos e diferenciados, com rigorosos procedimentos de armazenagem e manuseio de cargas de alta qualidade em seu terminal multimodal.",51-200 employees,"JUL 5, 2024",3526,0,"['Financial Data', 'PII', 'Employee and HR data', 'Legal Documents', 'Intellectual Property', 'Databases', 'Utility and Infrastructure Data']",Qilin
GOLDEN ACRE,http://www.goldenacre.ca/,Food & Beverages,"Chertsey, Surrey",United Kingdom,"At Golden Acre, we specialise in importing and distributing great food from around the world.

Operating across 15 countries, we boast a wide range of delicious European and World Foods which we supply to Major Multiples, Wholesalers and Foodservice customers in the UK & Ireland.

Established in 1999, we have grown every year and today we work with over 100 manufacturers supplying both branded and private label products across chilled, ambient and frozen categories.

â¢ Dairy (Yogurts, Protein Shakes) 
â¢ Continental (Meats, Cheese & Fish)
â¢ World Foods (Polish, Romanian, American)
â¢ Home Baking (Chilled Pastry & Dough)
â¢ Free-From, Halal & Kosher

We support our customers with a host of services within NPD, Technical, Sales, Marketing and Supply-Chain to help build a sustainable presence in the UK. Providing professional insight on market data, consumer trends and the latest legislation.

Our diverse multi-talented team is drawn from a varied blue-chip background; and together we provide comprehensive sourcing, marketing and distribution expertise to our private label and branded customers.

In addition to our development work; we have a growing portfolio of our own brands, which includes Golden Acre Yogurt, Najma, Elsinore, Acti-Shake, Urban-Active and Enjoy!",51-200 employees,"JUL 5, 2024",3552,63,"['Customer and Client Data', 'Employee and HR data']",Qilin
A-AGROUP,http://www.a-agroup.com/,Contruction,Texas,United States,A&A Group is a company that operates in the Commercial & Residential Construction industry. It employs 20to49 people and has 10Mto25M of revenue.Ê,,"JUL 5, 2024",3679,685,"['Financial Data', 'Employee and HR data']",Qilin
ST VINCENT DE PAUL CATHOLIC SCHOOL,http://www.svdpvikings.com/,Education,"Mobile, AL",United States,"St. Vincent de Paul Catholic School provides a nurturing family environment that is traditional, yet progressive.  Students are valued as individuals and taught to utilize their unique abilities to master essential knowledge and skills; actively solve problems; and produce meaningful, relevant work.  St. Vincent de Paul champions each studentâs success and teaches to honor the values of Catholic identity through moral integrity and service to others.",1 employee,"JUL 5, 2024",3587,104,"['Financial Data', 'Customer and Client Data', 'Employee and HR data']",Qilin
HYDEFUEL.COM,http://www.hydefuel.com/,Food & Beverages,"Tupper Lake, New York",United States,Hyde Fuel delivers fuel and provides full-service heating in the Saranac Lake NY area.,2-10 employees,"JUL 5, 2024",3422,18,['Employee and HR data'],Qilin
SVMASONRY.COM,http://www.svmasonry.com/,Construction,"Phoenix, AZ",United States,"Sun Valley Construction is #1 of the largest, most respected masonry and concrete contractors in the Southwest. Our scope of work ranges from multi-million dollar sports complexes and government buildings to private residences - each of which we approach with the same level of professionalism and attention to detail.","501-1,000 employees","JUL 5, 2024",3446,110,"['Financial Data', 'Employee and HR data', 'Utility and Infrastructure Data']",Qilin
NORTHCOTTAGE.COM,http://www.northcottage.com/,Healthcare,"Norton, Massachusetts",United States,"The mission of the North Cottage Program, Inc. is to provide quality comprehensive residential substance addiction treatment to any addicted person",11-50 employees,"JUL 5, 2024",3426,6,"['Customer and Client Data', 'Databases']",Qilin
KINSLERFAMILYDENTISTRY,http://www.kinslerfamilydentistry.com/,Healthcare,Indiana,United States,,,"JUL 5, 2024",3518,9,"['Customer and Client Data', 'Healthcare Data']",Qilin
SYNNOVIS,http://www.synnovis.co.uk/,Healthcare,"London, England",United Kingdom,"Synnovis is a partnership between SYNLAB UK & Ireland, Guyâs and St Thomasâ NHS Foundation Trust, and Kingâs College Hospital NHS Foundation Trust, performing more than 32 million pathology tests a year across a network of routine and specialist laboratories.

Serving a population of 1.7 million in south east London, we bring together the very best in clinical, scientific and operational expertise to provide a pathology service which aims to create better outcomes for patients and make a positive difference to peopleâs health and wellbeing.

We work collaboratively with the NHS, SYNLAB, clinical users and other stakeholders â every sample we process represents an individual patient in our joint care, and we understand the important role we play in continually developing services to meet that important responsibility.","1,001-5,000 employees","JUL 5, 2024",3077,613,"['Customer and Client Data', 'Healthcare Data']",Qilin
PRINSOTEL.COM,http://www.prinsotel.com/,Hospitality,"Palma, Balearic Islands",Spain,"Family owned business, dedicated for over 30 years to providing unforgettable memories to families and couples by the mediterranean sea.

Located in Mallorca and Menorca, our hotels, apartments and villas are characterized by green and beautiful gardens full of bougainvillea, impeccable service and a wide range of gastronomic experiences.",201-500 employees,"JUL 5, 2024",3039,0,"['Customer and Client Data', 'Employee and HR data']",Qilin
POMALCA.COM.PE,http://www.pomalca.com.pe/,Manufacturing,Chiclayo,Peru,"Empresa Agroindustrial Pomalca is a leading agribusiness company based in Chiclayo, Peru. It is one of the country's major sugar producers.",,"JUL 5, 2024",2998,31.5,"['Employee and HR data', 'Utility and Infrastructure Data']",Qilin
THE SEATTLE PUBLIC LIBRARY,http://www.spl.org/,Cultural,Washington,United States,"We bring people, information and ideas together to enrich lives and and build community. Visit us at spl.org.",,"JUL 5, 2024",2343,0,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
COMMONWEALTH SIGN,http://www.commonwealthsign.com/,Manufacturing,"Louisville, Ky",United States,"Based in Louisville Ky. Commonwealth Sign Company specializes in the manufacture, maintainance and repair of signs.  The company has been operational since 1979 and serves a host of industries, such as automotive, banking, health care, hotel, restaurant, and many more.  The in-house equipment of Commonwealth Sign Company offers a full range of manufacturing options, including vacuum formed, solar grade lexan, aluminum channel letter fabrication, full color digital printing for indoor and outdoor images, etc. Here at Commonwealth Sign Company we are dedicated to excellence and craftsmanship in all facets of our business.
We also service national accounts.  Contact us today for your sign needs.",11-50 employees,"FEB 3, 2024",2889,32,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Utility and Infrastructure Data']",Qilin
MORDFIN,http://www.mordfin.com/,Financial Services,"GREAT NECK, New York",United States,"Built upon integrity and trust, The Mordfin Group is a highly regarded tax, accounting and advisory group, operating successfully for more than 90 years. Our unwavering commitment to personal service and responsiveness to our clients' needs has worked to strengthen relationships and build respect in the community. In this deep-rooted, carefully cultivated foundation, opportunities for growth abound. Together, we collaborate on a financial future of limitless possibilities

As clear-sighted, progressive thinkers and creative problem solvers, our firm succeeds in surpassing pace with the challenges and attendant needs confronting you in today's economy. We infuse these strengths with a genuine interest and enthusiasm in assisting you to achieve a sound financial future consistent with your vision.

Whether the challenge lies in growing your business, planning your retirement, or transitioning a business to the next generation, we will provide the knowledge and support you need to confidently and successfully achieve your goals. 

The professionals at The Mordfin Group insist on an in-depth knowledge of the businesses they serve. No professional, however competent, can do you justice until they understand your problems, challenges, and goals from the inside out. At The Mordfin Group your accountant becomes, in effect, a professional extension of your organization, using objectivity to spot a potential problem and proven expertise to solve it.",11-50 employees,"JAN 28, 2024",12289,314,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Intellectual Property', 'Healthcare Data']",Qilin
NEAFIDI,http:// neafidi.it,Financial Services,"Vicenza, VI",Italia,"Offriamo alle imprese servizi di garanzia, finanza agevolata e credito diretto.
Promuoviamo la crescita, lo sviluppo e il miglioramento delle aziende socie, efficientando la gestione finanziaria.


Per maggiori dettagli visita il nostro sito o scrivi a commerciale@neafidi.it",11-50 employees,"JAN 25, 2024",16881,88,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data']",Qilin
WANNAGOCLOUD,http://wannagocloud.com/,IT Services ,"Dubai, Dubai",United Arab Emirates,"Founded in late 2016, WannaGo Cloud Services has gained great momentum in the GCC region while setting exceptionally high standards for itself along the way. 

Data is the new oil. We're heading towards a future where data, analytics and smart insights will be the most priced assets of a business, helping them design better products & services, and give them an edge over the competition. This exponential growth in data must be matched with equal advancements in storage techniques, analytics, connectivity, accessibility and  security; all of which can be enabled by cloud computing.

Cloud technology can no longer be marketed as an 'add-on'. Having access to a reliable back-up,  a scalable IT infrastructure and protection against cyberattacks is a requisite for any business that wants to flourish in an increasingly digitized world.  This is where we, WannaGo Cloud, come in.

Spearheaded by our CEO and Founder, Deepak Verma, we recognized the need for businesses to switch from a CAPEX to OPEX environments, with pay-as-you-go options enabling a more flexible, scalable IT Infrastructure.

The future is cloud-centric, and we want you to be a part of it. Don't procrastinate; we all know what happened to conglomerates such as Blackberry and Yahoo that resisted advantageous change.",11-50 employees,"JAN 25, 2024",16415,145,"['Customer and Client Data', 'Legal Documents']",Qilin
PROJECTSW,http://www.projects-world.com/,Manufacturing,"Riyadh, Riyadh",Saudi Arabia,"Projects world is a leader Saudi company Established in 2012, by the architect Shadi Salahie. Specialized in interior design & furniture supply",11-50 employees,"JAN 19, 2024",26640,103,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Intellectual Property', 'Databases', 'Utility and Infrastructure Data']",Qilin
F J O'HARA & SONS,http://www.fjohara.com/,Business Services,Massachusetts,United States,F J O'Hara & Sons Inc is a company that operates in the Information & Document Management industry.Ê,,"JAN 9, 2024",31140,0,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases', 'Utility and Infrastructure Data']",Qilin
HALLEONARD,http://www.halleonard.com.au/,Musicians,"Milwaukee, Wisconsin",United States,"Founded in 1947, Hal Leonard is the world's largest provider of music publications and music instruction materials. In its catalog of more than one million titles available in print and digitally, Hal Leonard represents many of the world's best-known and most respected publishers, artists, songwriters, and arrangers. Their global headquarters is in Milwaukee, WI, and their distribution and printing facilities are in Winona, MN. In addition, they have offices abroad in Australia, Belgium, China, Germany, the Netherlands, India, Italy, and Switzerland, as well as in London and Bury St. Edmunds in England.","501-1,000 employees","JAN 8, 2024",43913,75,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
MOLNAR&PARTNER,http://https//www.molnar-bischof.de/,Hospitality,Bayern,Germany,Felix Bischof GmbH is a company that operates in the Fitness & Dance Facilities industry.Ê,,"JAN 8, 2024",40402,59,"['Financial Data', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
CORINTH COCA-COLA BOTTLING WORKS,http://corinthcoke.com/,Retail,Mississippi,United States,"About Corinth Coca-Cola Bottling Works Inc.: Corinth Coca-Cola Bottling Works, Inc. is a privately held, family-owned Coca-Cola bottlingÊ",,"DEC 30, 2023",43195,183,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data']",Qilin
EPS.RS,http://eps.rs/,Utilities,Belgrade ,Serbia,"Joint stock company Elektroprivreda Srbije as the largest company in Serbia represents economic and energy backbone of the country. The main activities of EPS AD are the production, supply and trade of electricity. EPS is owner a the coal mines, thermopower plant and hydropower plant. EPS supplies electricity to 3,4 Million consumers. 
The founder of Joint stock company Elektroprivreda Srbije is the Republic of Serbia and the founder's rights are exercised by the Government of the Republic of Serbia. The bodies of the Joint Stock Company ""Elektroprivreda Srbije"" are the Assembly, the Supervisory Board and the Executive Board. The Assembly appoints members of the Supervisory Board, while the Supervisory Board appoints the general director and executive directors who make up the Executive Board.",,"DEC 24, 2023",47937,212,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Databases']",Qilin
CMS COMMUNICATIONS,http://www.cmsc.com/,Telecommunications,"Chesterfield, MO",United States,"Since its founding in 1985, CMS Communications has been a leader in providing Telecom equipment and services. Our goal is to provide superior products and services at affordable prices. CMS maintains relationships with hundreds of equipment and service providers. This allows us to provide the best options for your business. Some of the solutions CMS offers include:

-  New and Refurbished Telecom equipment and IT Hardware
-  UCaaS Cloud based VoIP Phone Systems
-  Cloud Storage, Data Recovery & Hosting
-  Internet Service
-  Repair of Telecom equipment, IT Hardware and Mobile devices

We are your Agnostic, Transparent liaison who will help you disvoer the BEST solution(s) for your company. With over 30 years of experience, CMS Communications is the trusted source for all your Communication needs! ",51-200 employees,"DEC 4, 2023",105886,0,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
GREAT LAKES TECHNOLOGIES,http://www.greatlakestech.net/,IT Services ,"Elgin, Illinois",United States,"Power Tool Brands or Homeowners, Customer Service Technical Suppor Organization",11-50 employees,"DEC 4, 2023",103953,0,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
NEUROLOGY CENTER OF NEVADA,http://neurocnv.com/,Healthcare,"Henderson, Nevada",United States,Specializes in the diagnosis and treatment of the Nervous System and Neurological Disorders,11-50 employees,"DEC 4, 2023",99952,198,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Databases', 'Healthcare Data']",Qilin
WARE MANUFACTURING,http://www.warepet.com/,Manufacturing,"Phoenix, Arizona",United States,"Ware Pet Products (formerly Ware Manufacturing, Inc.) has been providing quality products to the pet supplies industry since 1983. Our product offering includes hutches and cages, cat furniture and accessories, small animal treats and accessories, interactive toys for dogs, cats and other small animals, chicken barns and pens and much more.

Still privately owned, Ware is led by an innovative team of professionals that are among the most knowledgeable in the industry. We are passionate about our mission to continuously offer new and exciting products that enhance the lives of pets and their owners alike.  After all, we love our pets, too - and have quite an assortment among our team members, ranging from reptiles, to dogs, cats, rabbits, chickens and more. We even have three office cats and two dogs! 

Ware Caresâ¢ - We are concerned about the carbon pawprint we leave as a company and are committed to using recycled and recyclable material in the manufacturing of our packaging and pet products whenever and wherever possible.",51-200 employees,"DEC 4, 2023",99310,194,"['Financial Data', 'Legal Documents', 'Intellectual Property', 'Databases']",Qilin
YANFENG,http://yanfeng.com/,Manufacturing,Shanghai,China,"Yanfeng is a leading global automotive supplier, focusing on interior, exterior, seating, cockpit electronics, and passive safety, and is exploring new business actively. Yanfeng has more than 240 locations and approximately 57,000 employees worldwide. The technical team of 4,200 experts is in 10 R&D centers and other regional offices, with complete capabilities including engineering and software development, styling, and test validation. Focusing on smart cabin and lightweight technology, Yanfeng supports automakers to explore future mobility and provide leading cabin solutions. For more information, please visit www.yanfeng.com.",,"NOV 27, 2023",111450,525,"['Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Databases', 'Utility and Infrastructure Data']",Qilin
EPSTEIN LAW,http://epsteinlawcorp.com/,Legal Services,"Rochelle Park, New Jersey",United States,"As aggressive litigators and strong negotiators, the attorneys at The Epstein Law Firm know the law and the courts. Because of our knowledge and experience, we can develop creative solutions to challenging legal situations in a wide range of personal injury cases and civil litigation.",2-10 employees,"NOV 14, 2023",131470,0,['Customer and Client Data'],Qilin
HAESUNG DS CO LTD,http://haesungds.com/,Manufacturing,Seoul,South Korea,HAESUNG DS CO Ltd is a company that operates in the Electronics industry. It employs 500to999 people and has 250Mto500M of revenue.Ê,,"NOV 14, 2023",129699,393,"['Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Utility and Infrastructure Data']",Qilin
UNIQUE-RELATIONS.AT,http://unique-relations.at/,Business Services,Vienna,Austria,"Jahrelange Erfahrung und Know-how, ein sicheres GespÃ¼r fÃ¼r den Kern der Geschichte, ein kreatives und erstklassiges Team als Ihre Berater und Partner â das ist UNIQUE relations.
 
âWer sich im Dreieck Wirtschaft â Medien â Politik bewegt, sollte wissen wovon er sprichtâ, so GrÃ¼nder und GeschÃ¤ftsfÃ¼hrer Josef Kalina.

Das eigentÃ¼mergefÃ¼hrte Unternehmen wurde im Jahre 2008 gegrÃ¼ndet und ist seit 2011 Partner des internationalen Beratungsunternehmens Hill + Knowlton Strategies in Ãsterreich.",11-50 employees,"NOV 5, 2023",150949,54,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents']",Qilin
ASSURIUS.BE,http://assurius.be/,Financial Services,"Steenokkerzeel, Vlaanderen",Belgium,"WELKOM BIJ ASSURIUS

Assurius (vroeger gekend onder de naam ISCS) is al meer dan 25 jaar gespecialiseerd in de afhandeling van schadedossiers voor rekening van verzekeringsmakelaars, verzekeringsmaatschappijen, fleet managers, CFOâs, risk & legal managers en advocaten.
Ons deskundig team heeft een ijzersterke kennis van de verzekeringssector waardoor wij uw dossiers sneller en efficiÃ«nter kunnen behandelen en grotere volumes aankunnen. Wij werken 100% in naam van uw organisatie, zodat we uw klanten een persoonlijke service kunnen garanderen.
Naast de administratieve afhandeling van dossiers, kunt u ook een beroep doen op onze expertise voor advies bij complexe of internationale schadeclaims.

â Elke vraag of elk dossier dat binnenkomt bij Assurius, wordt binnen de 24 uur behandeld. Dat, is onze Assurius service!

Graag tot binnenkort.

Tom CoussÃ©e, Zaakvoerder",11-50 employees,"NOV 5, 2023",151569,0,"['Financial Data', 'PII', 'Employee and HR data', 'Legal Documents']",Qilin
SG WORLD,http://sgworld.com/,Retail,"Crewe, Cheshire",United Kingdom,"ð·ð½Your Safety is Our Priority At SGWorld! Trust the Experts
âï¸Find us 01270588211
Do it better!

SG World supplies simple solutions for the management of people, processes and property, including: 

â¢ Visitor Management, including visitor passes and visitor badge software 
â¢ Pupil Management and Safeguarding Solutions
â¢ Cheque Printing & Financial Systems 
â¢ Contractor Management 
â¢ Equipment Inspection, including fleet vehicles
â¢ Staff Identification

SG World has been developing innovative products for over 40 years. You will find SG World solutions in schools across the country and in the majority of the UK's top 1,000 companies.",51-200 employees,"OCT 26, 2023",169965,63,['unknown'],Qilin
CARDIOVASCULAR CONSULTANTS LTD,http://cvcheart.com/,Healthcare,"Phoenix, Arizona",United States,,201-500 employees,"OCT 25, 2023",172136,206,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Healthcare Data']",Qilin
"PAUL-ALEXANDRE DOÃCESCO, NOTAIRES ASSOCIÃS",http://notairedoicesco.be/,Real Estate,Gedinne,Belgium,,,"OCT 25, 2023",164321,0,"['Financial Data', 'Customer and Client Data', 'Legal Documents']",Qilin
DITRONICS FINANCIAL SERVICES,http://ditronics.com/,Financial Services,Nevada,United States,"DiTRONICS is a full service funds access provider for the gaming industry.  The company is dedicated to the delivery of  industry-leading new and innovative technologies for casino operators in North America.  With over 20 years experience and the highest customer retention rate in the industry, DiTRONICS is committed to helping our partners get the most out of their ATM, Cash Advance, Check Guarantee services as well as their ATM and Kiosk hardware platforms.

Products and services include: 

â¢ ATMâs, AllâNâ1 ATM software
â¢ Credit and POS Debit Card Cash Advance
â¢ Personal and Payroll Check Cashing with Guarantee
â¢ Multi-function Ticket Redemption Kiosks
â¢ Proprietary Wagering Account for use by operators with a ""Bricks and Clicks"" strategy
â¢ Marketing solutions",,"OCT 4, 2023",159795,412,"['Financial Data', 'Legal Documents']",Qilin
SIAMESE ASSET,http://siameseasset.co.th/,Real Estate,"Bangkok, Bangkok",Thailand,"At Siamese Asset, our goal is to be the most trusted property development company that delivers ""Assets of Life"" to our customers with cheaper price tag than other property development companies having the same standard; provides sustainable value growth to our shareholders; creates challenging and rewarding work for our people in an environment that respects and values their contributions.","501-1,000 employees","SEP 26, 2023",208232,249,"['Financial Data', 'PII', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
CORTEL TECHNOLOGIES,http://cortel.com/,Telecommunications,"Somerset, New Jersey",United States,"Cortel is a cloud technology vendor that partners with businesses to deploy hosted and premise-based phone systems and UCaaS solutions that connect customers to businesses. With Cortel, our clients have the tools they need to connect with people in a digital world. Stop frustrating your customers with an outdated phone system and start connecting with customers quickly.",11-50 employees,"SEP 11, 2023",225678,71,['Customer and Client Data'],Qilin
WACOAL,http://wacoal-america.com/,Retail ,Paris,France,,,"SEP 8, 2023",218999,75,['Customer and Client Data'],Qilin
GYP NEW TREE SA,http://newtree.com.ar/,Customer Services,Ciudad Autonoma De Buenos Aires,Argentina,,,"AUG 28, 2023",234196,58,['Customer and Client Data'],Qilin
THONBURI ENERGY STORAGE SYSTEMS (TESM),http://mercedes-benz.co.th/,Construction,"Bangkok, Bangkok",Thailand,,,"AUG 7, 2023",278146,152,"['Intellectual Property', 'Utility and Infrastructure Data']",Qilin
"BETTER SYSTEM CO.,LTD",http://www.bettersystem.co.th/,IT Services ,Toronto,Canada,"Founded in 1987, Better Systems Group has offered better clinic management software for over 25 years. 

Building on a strong foundation in the Chiropractic market, we also offer our software to Physiotherapists, Naturopaths, Massage Therapists, Psychologists, mixed practices and other clinic environments. Our main product, The Better System, consolidates appointment scheduling, billing/financials, patient demographics, comprehensive reporting and more into one convenient and easy-to-use package. New for 2015, our Better Notes add-on brings the same legendary usability to the EHR/EMR segment including intuitive touchscreen and tablet functionality! 

Isn't it time you discovered a better way, with Better Systems?",1 employee,"JUL 12, 2023",286460,0,['unknown'],Qilin
