Company Name,Company URL,Date Victimsed,Status,View Count,Photo Count,File Count,Data Size (GB),Content,Financial Data,PII,Customer and Client Data,Employee and HR data,Legal Documents,Intellectual Property and Trade Secrets,Databases,Sensitive Communication,Healthcare Data,Utility and Infrastructure Data
LORANSRL,http://https//www.loransrl.eu,"AUG 15, 2024",Up,20845,0,27148,24,"Our company history begins in 1988. An entrepreneurial reality that presents itself as a ""workshop of innovation and talent"". We immediately established ourselves as leaders in the scientific-health sector, proving ourselves to be successful especially in the supply of specific equipment and services, both for the operating sector and for high-tech critical health areas",No,No,Yes,No,No,No,No,Yes,No,No
WWW.PRINSOTEL.COM,http://www.prinsotel.com/,"AUG 15, 2024",Up,20564,0,15083,17,Our hotels are distributed on the islands of Mallorca and Menorca and in the best locations so that you only have to worry about enjoying yourself.,No,No,Yes,No,No,No,No,Yes,No,No
HAWITA-GRUPPE,http://https//hawita.de,"AUG 15, 2024",Up,18345,0,257826,367,"Thanks to a consistent corporate policy, a great deal of know-how and first-class employees, we have developed into one of the premium manufacturers of products for modern horticulture in the course of the company's over 100-year history. Our portfolio serves the most diverse areas of the ""green industry"" from hobby gardeners to commercial horticulture. Innovative spirit, absolute top products, customer orientation and seamless logistics - this is what we stand for with our name and our mission statement.",No,No,No,No,No,No,Yes,No,No,No
IEMSC.COM,http://https//iemsc.com,"AUG 15, 2024",Up,14940,0,16129,152,"IEMS offers off-site manufactured Modular Solutions to its clients. In the heart of the City, State of the art Modular Factory is built on a 14,000 sq. ft. facility in Ras Al Khor to ensure the rapid delivery throughout to meet the requirements of our projects in U.A.E. The pre-fabricated modular frames are constructed in a controlled environment with precision to reduce the space constraints and increase efficiency, quality and reliability in a cost and time effective manner.",No,No,No,No,No,No,Yes,No,No,No
KINEMATICA.CH,http://www.kinematica.ch/,"AUG 15, 2024",Up,13893,0,2672,2,"Discover Swiss-made dispersing solutions. Since 1962. At Kinematica, our core values of uncompromising quality, in-depth expertise, and continuous innovation drive our work. With meticulous attention to detail, transparent processes, and a genuine consultancy approach, we provide tailor-made solutions for every application, including the most challenging ones. Experience our commitment to excellence and customized solutions for your needs.",No,No,No,No,No,Yes,No,Yes,No,No
BRIGHTWIRES.COM.SA,http://www.brightwires.com.sa/,"AUG 15, 2024",Up,13650,0,14157,43,"Bright Wires company Ltd. Is the general marketing, products and services Representative of many international vendors in Saudi Arabia, the Kingdom’s leading provider of telecommunication, enterprise information technology and electrical solutions. History Bright Wires history in the Kingdom goes back to 1989; it was providing simple business of Electrical & Power systems. Due to the rapid economic development in the Kingdom it has grown to offer a total enhanced portfolio of telecommunication, network, electrical products and services including consultation and implementation, business recovery and operations support.",Yes,No,No,No,No,No,No,Yes,No,Yes
PATTERSON HEALTH CENTER,http://https//pattersonhc.org/,"AUG 14, 2024",Up,13734,35,321380,270,"Completed in 2019, Patterson Health Center combined two critical access hospitals in Anthony and Harper, Kansas. The new centrally located critical access hospital has 16 inpatient beds, a large emergency department with two trauma bays to support our trauma services.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
CODACINC.ORG,http://www.codacinc.org/,"AUG 7, 2024",Up,8621,14,31412,9,"CODAC, a non-profit organization based in Cranston, Rhode Island, has provided treatment, recovery and prevention services to individuals and families within local communities for more than 50 years. With seven locations across the state, and two correctional programs, CODAC is uniquely positioned to provide a wide range of outpatient and off-site services to those living with the challenges of substance use disorders and other behavioral healthcare issues.",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
WWW.SRMEDICALCENTER.ORG,http://www.srmedicalcenter.org/,"JUL 30, 2024",Up,1322,10,373454,293,"The company Schneider Regional Medical Center was attacked by us, all infrastructure of the network was blocked. There were stolen the data, among which confidential information, private contracts, agreements, financial documentation, e-mail correspondence and many more, private particulars of staff and also large scale of information about clients. The information what we have will be available for downloading in 7 days",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"NEW TSI HOLDINGS, NYSC",http:// www.newyorksportsclubs.com,"JUL 29, 2024",Up,4440,17,96243,168,"New York Sports Clubs and our family of brands was initially founded in 1973 in New York City, and is a chain of large, full-service, commercial",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
CCJ.EDU.LB,http://www.ccj.edu.lb/,"JUL 28, 2024",Up,6140,12,12036,8,"Central College of the Lebanese Monks aims at fostering and maintaining a positive, supportive, warm, safe, and effective environment conducive to both teaching and learning, one which promotes human values, tolerance, respect, understanding of the other, and love. Such an environment creates an engaging learning community which helps our students achieve and become efficient members of their society and, hopefully, the world.",No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
NETWORK COMMUNICATIONS GROUP,http://www.netcomms.co.uk/,"JUL 27, 2024",Up,16577,11,139599,210,"Network Communications Group is the parent company of Network Voice & Data, Fusion Four Telecoms, Meridian Options Systems Support, Bluebill Having operated since 1987 and celebrating over 35 successful years in the telecommunications industry, we have grown organically over the years by remaining innovative and in the forefront of technology. We build and encourage strong partnerships with our clients. A large part of this is our role as technology advisors, we don’t just supply technology, we help businesses understand where it can be put to best use. Operating throughout the UK, we also have an operating presence in Europe and Asia. Our business is to keep your business better connected and informed in the dynamic world of communications.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
AYURCAN,http:// www.ayurcann.com,"JUL 26, 2024",Up,18420,9,5013,5,"Ayurcann is a leading post-harvest solutions provider with a focus on providing and creating custom processes and pharma grade products. Within 18 months of entering the recreational Canadian cannabis industry, our products have paved the way, and set new standards that are shaping the future of cannabis. With simple yet effective business practices, we will continue to push quality, reliable, and affordable products to our consumers.",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
SIMPLE-SOLUTION-SYSTEMS,http://www.simsys.sg/,"JUL 24, 2024",Up,19433,0,240850,1590,"Simple Solution Systems Pte Ltd is a company that operates in the Custom Software & IT Services industry. It employs 20to49 people and has 5Mto10M. At SIMSYS, we provide a wide range of Solution services ranging from Infrastructure Setups, Third Party Application Installation and Configuration, to Turn-Key Application Solutions. See how SIMSYS can help you today.All data of this company will be available for download on 29.07.2024",No,No,Yes,No,No,No,Yes,No,No,No
NEXT STEP HEALTHCAR,http://www.nextstephc.com/,"JUL 24, 2024",Up,19465,16,202755,96,"The company “next step healthcare” was subjected to our attack, the entire infrastructure of the network was blocked. Absolutely all data was stolen. Among them is very sensitive information. Let the relevant authorities check the situation and pay attention to all violations and incidents. The management does not care about the confidentiality of their customers' data. They have made it clear that they are not ready to protect the interests of those who trusted them. Everyone whose documents have fallen into our hands will be given full instructions on how you can rob this stall to the last thread. We also officially declare that as soon as you make a new network we will attack you again, because we have a 0day vulnerability in our arsenal. We will show you all our power, so that it will serve as an example and a trigger for those who will think whether to cooperate with us or not. We also officially declare that in the near future there will be a series of attacks on medical institutions U.S.A",No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
EHS PARTNERSHIPS,http://www.ehsp.com/,"JUL 23, 2024",Up,17904,0,29898,51,"EHSP is a full service firm built around professionals and leaders in the field of environmental and occupational health and safety (EHS / OH&S). Originally incorporated under the Business Corporations Act on August 13, 1996, the company was officially named EHS Partnerships Ltd. in 2005. In case this company does not get in touch. All the dates we have will be available for download in a week.",No,No,Yes,No,No,No,No,Yes,No,No
ON365.CO.UK,http:// www.on365.co.uk,"JUL 18, 2024",Up,3160,7,32158,20,"on365 has been driving down costs, improving power and cooling efficiencies and managing risk since 1984. We provide expertise, support and the technical services to help prepare, design, acquire, install, maintain, optimise and upgrade your mission critical equipment assets in server rooms, edge closets, branch offices and datacentres, across the physical infrastructure. We’re Schneider Electric’s biggest service partner with the highest partner accreditations for their products, solutions, and services providing full quality assurance for your entire infrastructure.",No,Yes,No,No,No,Yes,No,Yes,No,Yes
ZSZAALEJI.CZ,http://www.zszaaleji.cz/,"JUL 17, 2024",Up,21260,15,20846,197,"The history of the school began on September 1, 1975. Currently, the school provides education to more than 500 students in a modern, barrier-free and stimulating environment. Since 2014, classes with an educational approach according to Maria Montessori have been part of the school.",Yes,No,Yes,No,Yes,No,Yes,Yes,No,No
PREFEITURA DO JABOATÃO DOS GUARARAPES,http://www.jaboatao.pe.gov.br/,"JUL 16, 2024",Up,3049,17,1059347,1380,"Prefeitura Municipal do Jaboatão dos Guararapes operates in the Government Administration industry. It employs 1000+ people and has Revenue: $208 Million. We downloaded more than 500GB of data, pay attention on screenshots.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
KMLG,http://www.kmlg.com/,"JUL 15, 2024",Up,15729,9,150287,145,"Established in 1953, Kohinoor Textile Mills (KTML) is a textile manufacturing company headquartered in Punjab, Pakistan.",Yes,Yes,No,Yes,No,No,Yes,Yes,No,No
EPS.RS,http://www.eps.rs/,"JUL 5, 2024",Up,23070,0,133978,212,"Joint Stock Company Elektroprivreda Srbije is the largest company in Serbia, representing economic and energy backbone of the country. Main activities of EPS JSC are electricity generation, supply, distribution and trading.",No,No,Yes,No,No,No,Yes,No,No,Yes
EASCHANGESYSTEMS,http://www.easchangesystems.com/,"JUL 5, 2024",Up,22688,0,490184,331,"AS develops, produces and sells components and turnkey systems for quick tool changes on plastic injection molding machines as well as on presses, stamping and die casting machines. We supply components as well as full and semi-automatic systems for injection molding machines of all ages, sizes and manufacturers. From globally known brands to local machines, with clamping forces varying from 500 kN to 55,000 kN.",No,No,No,No,Yes,No,Yes,No,No,No
THE WACKS LAW GROUP,"http://www,wackslaw.net/","JUL 5, 2024",Up,22832,0,5727,17,"The Wacks Law Group is a New Jersey-based law firm of dedicated attorneys who address clients’ issues with a deeply personal yet professional commitment. Our law firm serves clients throughout New Jersey and New York. Our extensive knowledge of the law coupled with our understanding of our clients’ needs has earned us an outstanding reputation. We provide clients with individual attention, reasonable fees for services and form solid relationships.We have a lot of data from this company in our hands. In the event that we do not come to an agreement, all data of the company and its customers will be published. SOON SOON ! YOU WILL KNOW EVERYTHING!",No,No,Yes,No,No,No,Yes,No,No,No
MACCARINELLI.IT,http://www.maccarinelli.it/,"JUL 5, 2024",Up,22249,0,41357,33,"Maccarinelli Srl is a company that operates in the Architecture & Planning industry. It employs 6-10 people and has $1M-$5M of revenue. The companyis headquartered in Paitone, Lombardy, Italy.",Yes,No,No,Yes,No,No,No,No,No,Yes
CASA SANTIVERI,http://www.santiveri.com/,"JUL 5, 2024",Up,21894,0,420207,204,We are a fifth generation family business that began its journey at the end of the 19th century. We were pioneers in the natural food trade in Spain and contributed to the penetration and spread of European vegetarianism in Spain. About 300 GB of confidential data was downloaded.,No,No,No,Yes,No,No,No,Yes,No,No
ETATEAM.BE,http://www.etateam.be/,"JUL 5, 2024",Up,21238,0,57717,15,European Team is an accountant in Brussels in the province of Province of Brussels in the Brussels-Capital region. The firm is established at Rue Joseph Druez 182. European Team and created on 03-02-1986. European Team is known under company number 428490273. The legal form of the company is SPRL. The firm on rue Rue Joseph Druez has 1 to 4 employees. At the bottom of this page you will find more data about this firm.,No,No,No,Yes,Yes,No,No,Yes,No,No
FELDA GLOBAL VENTURES HOLDINGS BERHAD,http://www.feldaglobal.com/,"JUL 5, 2024",Up,21679,0,226106,291,"Founded in 2007 and headquartered in Kuala Lumpur, Malaysia, Felda Global Ventures Holdings Berhad, or FGV, is a holding company that has interestsin global agriculture such as soybean and canola products, palm oil, sugar products, and others.In a result of successful attack on this company we have captured a lot of data: private contracts, agreements, all financial documentation, projects, e-mail correspondence and much more. In a case if this company won't get in touch all data which we have will be accessible for download in a week.",Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No
MADERO,http://www.madero.ca/,"JUL 5, 2024",Up,20996,0,213579,350,"Madero is a leading manufacturer and distributor of residential and commercial doors and hardware, from Western Ontario to British Columbia.",No,No,No,No,No,No,No,No,No,No
BIG ISSUE GROUP,http://www.bigissue.com/,"JUL 5, 2024",Up,20763,0,956277,530,"UPGRADE! Soon we will start exhibiting the most interesting things and open our eyes to everything that Big Issue Group actually does. Soon you will all support our position. Follow the news. A company that wants to hide the fact of hacking and leakage of personal data. About 550 GB of confidential data was downloaded. - Personnel (copies of documents, personal data, etc.) - Contracts (all reports, partner data, etc.) - Finance (reports, transactions, income, etc.) - BigissueInvest (financial transactions, partners, contracts, etc.) - Private & Confidential and much more.",Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
WATERGATE,http://www.thewatergatehotel.com/,"JUL 5, 2024",Up,20753,0,378376,289,"The Watergate Hotel's flowing avant-garde architecture was designed by Luigi Moretti to emulate the mighty Potomac. Its stunning Ron Arad-designedinterior lives up to the building's original elegance. The Watergate Hotel takes classic elegance, bold mid-century modern design and adds all the extravagance and warmth of contemporary luxury. This one-of-a-kind hotel pays tribute to its own storied past alongside inventive outlets such as the Kingbird restaurant and The Next Whisky Bar.",No,No,Yes,No,No,No,No,No,No,No
MCS,http://www.mitchellcountychamber.org/,"JUL 5, 2024",Up,20174,0,105855,53,"The mission of the Mitchell County Chamber of Commerce is to support business and promote community. The Chamber is made up of hundreds of businesses, industries and individual members whose goal is to promote Mitchell County, the surrounding region and its economy. The Chamber operates two locations in Mitchell County. The Mitchell County Visitor's Center is located in the Museum of N.C. Minerals, just off the Blue Ridge Parkway. The Visitor's Center greets tens of thousands of visitors each year and provides them with information about the county.",No,No,Yes,No,No,No,No,No,No,No
DR CHARLES A EVANS,http://www.charlesevansmd.com/,"JUL 5, 2024",Up,19722,0,9435,3,"Dr. Charles Evans, MD. We are focusing on preventative medicine, healthy lifestyle, and healthy living. Nutrition, exercise, and weight loss are part of this overall goal.",No,No,Yes,No,No,No,No,Yes,Yes,No
JEAN-NOUVEL,http://www.jeannouvel.com/,"JUL 5, 2024",Up,12628,0,43461,314,"AJN is one of the largest architectural firms in France, with more than 40 projects underway in 13 countries and a multicultural team of more than 140 professionals. The project of the Jean Nouvel AJN, Jean-Marie Duthilleul AREP and Michel Cantal-Dupart team for the Grand Paris is Births and rebirths of a thousand and one Parisian happinesses.",No,No,No,No,No,No,No,No,No,No
THE WEINSTEIN FIRM,http://www.weinsteinwin.com/,"JUL 5, 2024",Up,12450,0,147987,89,"At The Weinstein Firm LLC, we operate on what is called a contingency fee basis. This means that you, as our client, pay no upfront fees and owe usnothing until we secure a favorable verdict or settlement on your behalf. To put it another way: You don't pay unless we win. Our contingency fee policy makes it risk-free to work with an Atlanta personal injury attorney from our office. Choose The Weinstein Firm LLC.",Yes,No,Yes,No,No,No,No,Yes,No,No
W.P.J. MCCARTHY AND COMPANY,http://www.wpjmccarthy.com/,"JUL 5, 2024",Up,10545,0,46124,70,"W.P.J. McCarthy and Company is a privately owned full service real estate firm specializing in the purchase, conception, development, leasing, and management of our own privately held commercial real estate portfolio. As Landlords, we pride ourselves on working with our Tenants, trades, and other partners, to develop and manage properties that provide the communities we work in with great services and economic benefits. We pride ourselves on taking care of our property and giving the best service to our Tenants. Our motto is simple: “Take care of your property and it will take care of you”.",No,No,No,Yes,Yes,No,No,No,No,No
THOLEN BUILDING TECHNOLOGY GROUP,http://www.tholen-gebaeudetechnik.de/,"JUL 5, 2024",Up,9585,0,197793,344,"We are a medium-sized building technology company and currently employ around 140 people. These are increasingly active in the Aachen, Cologne, Bonn, Düsseldorf, Duisburg and Essen areas. Of course, also beyond these limits.",No,No,Yes,No,No,No,No,No,No,Yes
WILLIAMSRDM.COM,http://www.williamsrdm.com/,"JUL 5, 2024",Up,9490,0,49507,104,"Williams RDM is a Fort Worth-based research, development, and manufacturing company.",No,No,No,No,No,Yes,No,No,No,No
INFORIUS,http://www.inforius.be/,"JUL 5, 2024",Up,9397,0,31077,45,"Created in 2009 by Guy Wauthier and Laurent Mimmo, it now has 50 employees. With different types of profiles (developers, consultants, system and network engineers, helpdesk and administrative employees, etc.), it has extended its field of skills to develop services of all types. Thanks to the experience acquired, it now offers 3 types of service: INFORIUS consultancy, INFORIUS public authorities and INFORIUS projects.",No,No,No,No,No,No,No,No,No,No
INTUITAE,http://www.intuitae.com/,"JUL 5, 2024",Up,9093,0,50664,40,"Intuitae is one of the preeminent family office firms in Europe with bureaus in Paris, Geneva and Luxembourg. We assist more than 50 families whosefortune is at least 20 million Euros, advising them how to preserve their wealth and pass it on to future generations. We provide a comprehensive range of family office services: advice on financial investments, real estate and non-listed companies; support on legal and tax matters; assistance on administrative issues and budget; family governance and philanthropy. Intuitae is a team of 20 personnel directed by 4 partners and complemented by an active network of more than 80 professionals: lawyers, tax specialists, notary publics, etc.",No,No,Yes,No,No,No,No,No,No,No
MUNICIPALITÉ LA GUADELOUPE,http://www.munlaguadeloupe.qc.ca/,"JUL 5, 2024",Up,5942,0,1173,7,"Municipalité La Guadeloupe is a company that operates in the Government industry. It employs 11-20 people and has $5M-$10M of revenue. The companyis headquartered in La Guadeloupe, Quebec, Canada.",Yes,No,No,Yes,No,No,No,Yes,No,No
CONSULTING RADIOLOGISTS,http://www.consultingradiologists.com/,"JUL 5, 2024",Up,3550,0,94667,70,"Consulting Radiologists LTD is an independent radiology group based out of Minneapolis, providing a complete range of radiology services to the healthcare community, including outpatient imaging services. After 89 years of existence, CRL continues to remain a vibrant and independent practice, providing best-in-class radiology services with more than 75 physicians working throughout 26 on-site locations.",No,No,No,Yes,No,No,No,Yes,Yes,No
MCSWEENEY / LANGEVIN,http://www.westrikeback.com/,"JUL 5, 2024",Up,3606,0,126291,274,McSweeney / Langevin is a national law firm. Our lawyers and staff have helped injured individuals seek justice against major insurance companies and corporations. Our team has recovered millions of dollars for thousands of injured clients.,Yes,No,No,No,Yes,No,No,Yes,No,No
FIAB SPA,http://www.fiab.it/,"JUL 5, 2024",Up,3637,0,304232,118,"FIAB SpA is a company that operates in the Cosmetics industry. It employs 101-250 people and has $10M-$25M of revenue. The company is headquarteredin Vicchio, Tuscany, Italy",Yes,No,No,Yes,No,No,No,Yes,No,No
PFAM,http://precisionflange.com/,"JUL 5, 2024",Up,3530,0,196708,144,"Company dedicated to producing the highest quality product, at the best price.",No,No,No,No,No,No,No,No,No,No
LOGIMODAL OPERAÇÕES LOGÍSTICAS,http://www.logimodal.com.br/,"JUL 5, 2024",Up,3526,0,0,0,"We stole and encrypted 444 GB of confidential data (contracts, finance, invoices, human resources, operations and much more). Contact us via the chatroom or we will release the data to the public.",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
GOLDEN ACRE,http://www.goldenacre.ca/,"JUL 5, 2024",Up,3552,0,55128,63,"Golden Acre Garden Sentre. Calgary's garden centre since 1967 and still growing strong. With hundreds of thousands of square feet in retail space.Golden Acre carries a wide variety of Annuals, Perennials, Trees and Shrubs, Houseplants, Garden and Home Decor, as well as Outdoor Furniture and all that you need to create your garden oasis. We also provide Landscaping Services and Horticultural Expertise.",No,No,Yes,Yes,No,No,No,Yes,No,No
A-AGROUP,http://www.a-agroup.com/,"JUL 5, 2024",Up,3679,0,265684,685,"A&A Group is a company that operates in the Construction industry. It employs 21-50 people and has $10M-$25M of revenue. The company is headquartered in Fairfield, New Jersey",Yes,No,No,Yes,No,No,No,Yes,No,No
ST VINCENT DE PAUL CATHOLIC SCHOOL,http://www.svdpvikings.com/,"JUL 5, 2024",Up,3587,0,80697,104,"St Vincent de Paul Catholic School is a company that operates in the Education industry. It employs 21-50 people and has $1M-$5M of revenue. The co mpany is headquartered in Peoria, Illinois",Yes,No,Yes,Yes,No,No,No,No,No,No
HYDEFUEL.COM,http://www.hydefuel.com/,"JUL 5, 2024",Up,3422,0,38072,18,"At Hyde Fuel, we offer competitive salaries, great benefits and a pleasant working environment. We are always looking for the ""best and brightest""service technicians, customer service representatives and administrative staff members to join our winning team. If you are interested in a position with Hyde Fuel, please send your resume to Linda@hydefuel.com or contact us here.",No,No,No,Yes,No,No,No,No,No,No
SVMASONRY.COM,http://www.svmasonry.com/,"JUL 5, 2024",Up,3446,0,27889,110,"svmasonry.com Sun Valley Construction is a company that operates in the Construction industry. It employs 51-100 people and has $5M-$10M of revenue. The companyis headquartered in Phoenix, Arizona.",Yes,No,No,Yes,No,No,No,No,No,Yes
NORTHCOTTAGE.COM,http://www.northcottage.com/,"JUL 5, 2024",Up,3426,0,11692,6,"The mission of the North Cottage Program, Inc. is to provide quality comprehensive residential substance addiction treatment to any addicted personwho desires recovery and meets the objective standards for admission and participation in the essential components of the program. Fulfillment of this mission is guided by these practices and principles: Provision of a safe, welcoming and supportive recovery environment. The availability of treatment regardless of the applicants ability to pay. Priority consideration for underserved or priority populations identified by North Cottage Program, Inc. and the Department of Public Health. An individualized recovery plan that promotes recovery and prepares residents for independent living and an alcohol and drug-free lifestyle upon completion of the program",No,No,Yes,No,No,No,Yes,Yes,No,No
KINSLERFAMILYDENTISTRY,http://www.kinslerfamilydentistry.com/,"JUL 5, 2024",Up,3518,0,1359,9,"kinslerfamilydentistry Frankfort Dentist - Kinsler Family Dentistry - Dental Care in Frankfort At Kinsler Family Dentistry, your smile is our top priority! Our entire team is dedicated to providing you with the personalized, quality dental care you deserve. During your visit, you will experience all that modern dentistry has to offer, including a list of general, restorative, and cosmetic dental services to meet the needs of the entire family. Our goal is to assist each patient in achieving and maintaining long-term dental health and a beautiful smile! We look forward to caring for you and your family's dental needs!",No,No,Yes,No,No,No,No,No,Yes,No
SYNNOVIS,http://www.synnovis.co.uk/,"JUL 5, 2024",Up,3077,0,201174,613,"Synnovis is a pathology partnership between Guy’s and St Thomas’ NHS Foundation Trust and King’s College Hospitals NHS Trust, and SYNLAB, Europe’s largest provider of medical testing and diagnostics.",No,No,Yes,No,No,No,No,No,Yes,No
PRINSOTEL.COM,http://www.prinsotel.com/,"JUL 5, 2024",Up,3039,0,0,0,"With more than 50 years of family tradition, the Prinsotel hotels located on the captivating islands of Mallorca and Menorca, stand out in their own light, offering much more than just accommodation. They are homes that welcome each guest with warmth and hospitality, transforming each visit into an unforgettable experience. With a long history of excellence in service, they combine the incomparable beauty of their environments with unsurpassed quality in every detail. At Prinsotel, the family essence merges with the majesty of its landscapes, providing each visitor with an experience of luxury and comfort that lasts in their memories long beyond their stay.",No,No,Yes,Yes,No,No,No,Yes,No,No
POMALCA.COM.PE,http://www.pomalca.com.pe/,"JUL 5, 2024",Up,2998,0,19630,31.5,"Empresa Agroindustrial Pomalca is a leading agribusiness company based in Chiclayo, Peru. It is one of the country's major sugar producers. The company has more than in sugar cane for production of sugar, molasses, and bagasse, in addition to other agricultural exports from its factory in coastal Lambayeque Region, Peru. It is an exporter of refined sugar to the United States.",No,No,No,Yes,No,No,No,No,No,Yes
