Company Name,Company URL,Date,View Count,Photo Count,File Count,File Size,Content
JM THOMPSON,http://https//jmthompson.com/,"AUG 28, 2024",15133,15 photos,31269 files,61.00 GB,"""JMT is owned and operated by John, Dickie, and Marty Thompson, brothers who represent the third generation of a family business. JMT offers a full range of pre-construction, design-build, general contracting, and construction management services. For over 100 years, building owners and industry professionals have chosen JMT, not only because we provide quality work at a fair price, but because we prove time and time again that commitment and hard work deliver successful projects."""
KAHLE CPA,http:// www.kahle-cpa.com,"AUG 26, 2024",7656,16 photos,175669 files,426.00 GB,"Kahle CPA PA is a company that operates in the Accounting Services industry. It employs 1to4 people and has 1Mto5M of revenue. We offer a broad range of services for business owners, executives, and independent professionals. We are affordable, experienced, and friendly.The information what we have will be available for downloading in 7 days."
BROOKSHIRE DENTAL - HOSPITALS & CLINICS,http://www.brookshiredental.com/,"AUG 26, 2024",20565,5 photos,63671 file,95.00 GB,"Dr. Frieda V. Brookshire has been providing dental care in Tustin for over 22 years and practices compassionate, gentle dentistry. She also employs cutting-edge dental technology to ensure precision and comfort while you are in her chair."
DT-TECHNOLOGIES,http:// www.dttechnologies.eu,"AUG 25, 2024",21025,16 photos,604929 files,429.00 GB,"DT GROUP ! We specialize in the manufacturing, purchasing and reselling of products essential for your machine tools. Our expertise focuses on clamping solutions, such as different types of work holding tools, and all types of clamping devices like collets and clamping heads, which play a crucial role in these processes. Our high-quality clamping devices are designed to meet the specific needs of the machine tool industry. Whether for tool clamping, bar clamping or workpiece clamping, we offer a wide range of reliable, high-performance collets and work holding clamps. We also offer emergency collets for sale when needed."
MELI (BCYF & BETHANY),http://https//www.meli.org.au/,"AUG 21, 2024",20667,14 photos,419617 files,215.00 GB,"Meli is a Victorian not-for-profit committed to strengthening communities through supporting people. We offer a unique combination of services to support members of our community throughout their lifetime, from early childhood through to adolescence and adulthood. Meli’s heritage and unique combination of services allow for an insightful approach to wellbeing. Using our breadth and depth of expertise to innovate and contribute to our community through preventative, strengthening programs."
MASON CITY RECYCLING CENTER,http://www.mcrecycling.com/,"AUG 19, 2024",18533,0 photos,0 files,0.00 GB,"Mason City Recycling Center has been manufacturing low dust Comfort Zone Cellulose since 1979. Family owned and operated. As our business grew, we relocated to our 50,000 square feet., 15 acre facility where we also operate our MRF (material recovery facility) which accepts and processes all types of recycling material. In 2012 we were voted Iowa’s top recycling center."
AMCO METAL INDUSTRIAL CORPORATION,http://amcocorporation.com/,"AUG 16, 2024",20750,4 photos,12699 files,24.00 GB,"Amco Metal Industrial Corporation - Home Services, Roofing contractors, Other construction 461 SOUTH 7 TH AVECITY OF INDUS, CA 9174600000, US6268552550 Phone:(626) 855-2550 Toll Free:(888) 322-2626 Email:info@amcocorporation.com Fax:(626) 855-2551 Facebook Profile: https://www.facebook.com/157717484262778/ Yelp Page:https://www.yelp.com/biz/amco-metals-industrial-city-industry website: amcocorporation.com"
HIESMAYR HAUSTECHNIK,http://www.hiesmayr.at/,"AUG 16, 2024",20727,0 photos,35463 files,32.00 GB,"Hiesmayr Haustechnik GmbH is a company that operates in the Commercial & Residential Construction industry. It employs 20to49 people and has 5Mto10. Our many years of experience in projects with complex requirements make us well-equipped for all tasks related to ventilation Heating Sanitary service a competent and reliable partner. Our aim has always been to reconcile economic efficiency, environmental compatibility and human well-being through the use of the most modern and efficient technology ."
LORANSRL,http://https//www.loransrl.eu,"AUG 15, 2024",20845,0 photos,27148 files,24.00 GB,"Our company history begins in 1988. An entrepreneurial reality that presents itself as a ""workshop of innovation and talent"". We immediately established ourselves as leaders in the scientific-health sector, proving ourselves to be successful especially in the supply of specific equipment and services, both for the operating sector and for high-tech critical health areas"
WWW.PRINSOTEL.COM,http://www.prinsotel.com/,"AUG 15, 2024",20564,0 photos,15083 files,17.00 GB,Our hotels are distributed on the islands of Mallorca and Menorca and in the best locations so that you only have to worry about enjoying yourself.
HAWITA-GRUPPE,http://https//hawita.de,"AUG 15, 2024",18345,0 photos,257826 files,367.00 GB,"Thanks to a consistent corporate policy, a great deal of know-how and first-class employees, we have developed into one of the premium manufacturers of products for modern horticulture in the course of the company's over 100-year history. Our portfolio serves the most diverse areas of the ""green industry"" from hobby gardeners to commercial horticulture. Innovative spirit, absolute top products, customer orientation and seamless logistics - this is what we stand for with our name and our mission statement."
IEMSC.COM,http://https//iemsc.com,"AUG 15, 2024",14940,0 photos,16129 files,152.00 GB,"IEMS offers off-site manufactured Modular Solutions to its clients. In the heart of the City, State of the art Modular Factory is built on a 14,000 sq. ft. facility in Ras Al Khor to ensure the rapid delivery throughout to meet the requirements of our projects in U.A.E. The pre-fabricated modular frames are constructed in a controlled environment with precision to reduce the space constraints and increase efficiency, quality and reliability in a cost and time effective manner."
KINEMATICA.CH,http://www.kinematica.ch/,"AUG 15, 2024",13893,0 photos,2672 files,2.00 GB,"Discover Swiss-made dispersing solutions. Since 1962. At Kinematica, our core values of uncompromising quality, in-depth expertise, and continuous innovation drive our work. With meticulous attention to detail, transparent processes, and a genuine consultancy approach, we provide tailor-made solutions for every application, including the most challenging ones. Experience our commitment to excellence and customized solutions for your needs."
BRIGHTWIRES.COM.SA,http://www.brightwires.com.sa/,"AUG 15, 2024",13650,0 photos,14157 files,43.00 GB,"Bright Wires company Ltd. Is the general marketing, products and services Representative of many international vendors in Saudi Arabia, the Kingdom’s leading provider of telecommunication, enterprise information technology and electrical solutions. History Bright Wires history in the Kingdom goes back to 1989; it was providing simple business of Electrical & Power systems. Due to the rapid economic development in the Kingdom it has grown to offer a total enhanced portfolio of telecommunication, network, electrical products and services including consultation and implementation, business recovery and operations support."
PATTERSON HEALTH CENTER,http://https//pattersonhc.org/,"AUG 14, 2024",13734,35 photos,321380 files,270.00 GB,"Completed in 2019, Patterson Health Center combined two critical access hospitals in Anthony and Harper, Kansas. The new centrally located critical access hospital has 16 inpatient beds, a large emergency department with two trauma bays to support our trauma services."
CODACINC.ORG,http://www.codacinc.org/,"AUG 7, 2024",8621,14 photos,31412 files,9.00 GB,"CODAC, a non-profit organization based in Cranston, Rhode Island, has provided treatment, recovery and prevention services to individuals and families within local communities for more than 50 years. With seven locations across the state, and two correctional programs, CODAC is uniquely positioned to provide a wide range of outpatient and off-site services to those living with the challenges of substance use disorders and other behavioral healthcare issues."
WWW.SRMEDICALCENTER.ORG,http://www.srmedicalcenter.org/,"JUL 30, 2024",1322,10 photos,373454 files,293.00 GB,"The company Schneider Regional Medical Center was attacked by us, all infrastructure of the network was blocked. There were stolen the data, among which confidential information, private contracts, agreements, financial documentation, e-mail correspondence and many more, private particulars of staff and also large scale of information about clients. The information what we have will be available for downloading in 7 days"
"NEW TSI HOLDINGS, NYSC",http:// www.newyorksportsclubs.com,"JUL 29, 2024",4440,17 photos,96243 files,168.00 GB,"New York Sports Clubs and our family of brands was initially founded in 1973 in New York City, and is a chain of large, full-service, commercial"
CCJ.EDU.LB,http://www.ccj.edu.lb/,"JUL 28, 2024",6140,12 photos,12036 files,8.00 GB,"Central College of the Lebanese Monks aims at fostering and maintaining a positive, supportive, warm, safe, and effective environment conducive to both teaching and learning, one which promotes human values, tolerance, respect, understanding of the other, and love. Such an environment creates an engaging learning community which helps our students achieve and become efficient members of their society and, hopefully, the world."
NETWORK COMMUNICATIONS GROUP,http://www.netcomms.co.uk/,"JUL 27, 2024",16577,11 photos,139599 files,210.00 GB,"Network Communications Group is the parent company of Network Voice & Data, Fusion Four Telecoms, Meridian Options Systems Support, Bluebill Having operated since 1987 and celebrating over 35 successful years in the telecommunications industry, we have grown organically over the years by remaining innovative and in the forefront of technology. We build and encourage strong partnerships with our clients. A large part of this is our role as technology advisors, we don’t just supply technology, we help businesses understand where it can be put to best use. Operating throughout the UK, we also have an operating presence in Europe and Asia. Our business is to keep your business better connected and informed in the dynamic world of communications."
AYURCAN,http:// www.ayurcann.com,"JUL 26, 2024",18420,9 photos,5013 files,5.00 GB,"Ayurcann is a leading post-harvest solutions provider with a focus on providing and creating custom processes and pharma grade products. Within 18 months of entering the recreational Canadian cannabis industry, our products have paved the way, and set new standards that are shaping the future of cannabis. With simple yet effective business practices, we will continue to push quality, reliable, and affordable products to our consumers."
SIMPLE-SOLUTION-SYSTEMS,http://www.simsys.sg/,"JUL 24, 2024",19433,0 photos,240850 files,"1,590.00 GB","Simple Solution Systems Pte Ltd is a company that operates in the Custom Software & IT Services industry. It employs 20to49 people and has 5Mto10M. At SIMSYS, we provide a wide range of Solution services ranging from Infrastructure Setups, Third Party Application Installation and Configuration, to Turn-Key Application Solutions. See how SIMSYS can help you today.All data of this company will be available for download on 29.07.2024"
NEXT STEP HEALTHCAR,http://www.nextstephc.com/,"JUL 24, 2024",19465,16 photos,202755 files,96.00 GB,"The company “next step healthcare” was subjected to our attack, the entire infrastructure of the network was blocked. Absolutely all data was stolen. Among them is very sensitive information. Let the relevant authorities check the situation and pay attention to all violations and incidents. The management does not care about the confidentiality of their customers' data. They have made it clear that they are not ready to protect the interests of those who trusted them. Everyone whose documents have fallen into our hands will be given full instructions on how you can rob this stall to the last thread. We also officially declare that as soon as you make a new network we will attack you again, because we have a 0day vulnerability in our arsenal. We will show you all our power, so that it will serve as an example and a trigger for those who will think whether to cooperate with us or not. We also officially declare that in the near future there will be a series of attacks on medical institutions U.S.A"
EHS PARTNERSHIPS,http://www.ehsp.com/,"JUL 23, 2024",17904,0 photos,29898 files,51.00 GB,"EHSP is a full service firm built around professionals and leaders in the field of environmental and occupational health and safety (EHS / OH&S). Originally incorporated under the Business Corporations Act on August 13, 1996, the company was officially named EHS Partnerships Ltd. in 2005. In case this company does not get in touch. All the dates we have will be available for download in a week."
ON365.CO.UK,http:// www.on365.co.uk,"JUL 18, 2024",3160,7 photos,32158 files,20.00 GB,"on365 has been driving down costs, improving power and cooling efficiencies and managing risk since 1984. We provide expertise, support and the technical services to help prepare, design, acquire, install, maintain, optimise and upgrade your mission critical equipment assets in server rooms, edge closets, branch offices and datacentres, across the physical infrastructure. We’re Schneider Electric’s biggest service partner with the highest partner accreditations for their products, solutions, and services providing full quality assurance for your entire infrastructure."
ZSZAALEJI.CZ,http://www.zszaaleji.cz/,"JUL 17, 2024",21260,15 photos,20846 files,197.00 GB,"The history of the school began on September 1, 1975. Currently, the school provides education to more than 500 students in a modern, barrier-free and stimulating environment. Since 2014, classes with an educational approach according to Maria Montessori have been part of the school."
PREFEITURA DO JABOATÃO DOS GUARARAPES,http://www.jaboatao.pe.gov.br/,"JUL 16, 2024",3049,17 photos,1059347 files,"1,380.00 GB","Prefeitura Municipal do Jaboatão dos Guararapes operates in the Government Administration industry. It employs 1000+ people and has Revenue: $208 Million. We downloaded more than 500GB of data, pay attention on screenshots."
KMLG,http://www.kmlg.com/,"JUL 15, 2024",15729,9 photos,150287 files,145.00 GB,"Established in 1953, Kohinoor Textile Mills (KTML) is a textile manufacturing company headquartered in Punjab, Pakistan."
EPS.RS,http://www.eps.rs/,"JUL 5, 2024",23070,0 photos,133978 files,212.00 GB,"Joint Stock Company Elektroprivreda Srbije is the largest company in Serbia, representing economic and energy backbone of the country. Main activities of EPS JSC are electricity generation, supply, distribution and trading."
EASCHANGESYSTEMS,http://www.easchangesystems.com/,"JUL 5, 2024",22688,0 photos,490184 files,331.00 GB,"AS develops, produces and sells components and turnkey systems for quick tool changes on plastic injection molding machines as well as on presses, stamping and die casting machines. We supply components as well as full and semi-automatic systems for injection molding machines of all ages, sizes and manufacturers. From globally known brands to local machines, with clamping forces varying from 500 kN to 55,000 kN."
THE WACKS LAW GROUP,"http://www,wackslaw.net/","JUL 5, 2024",22832,0 photos,5727 files,17.00 GB,"The Wacks Law Group is a New Jersey-based law firm of dedicated attorneys who address clients’ issues with a deeply personal yet professional commitment. Our law firm serves clients throughout New Jersey and New York. Our extensive knowledge of the law coupled with our understanding of our clients’ needs has earned us an outstanding reputation. We provide clients with individual attention, reasonable fees for services and form solid relationships.We have a lot of data from this company in our hands. In the event that we do not come to an agreement, all data of the company and its customers will be published. SOON SOON ! YOU WILL KNOW EVERYTHING!"
MACCARINELLI.IT,http://www.maccarinelli.it/,"JUL 5, 2024",22249,0 photos,41357 files,33.00 GB,"Maccarinelli Srl is a company that operates in the Architecture & Planning industry. It employs 6-10 people and has $1M-$5M of revenue. The companyis headquartered in Paitone, Lombardy, Italy."
CASA SANTIVERI,http://www.santiveri.com/,"JUL 5, 2024",21894,0 photos,420207 files,204.00 GB,We are a fifth generation family business that began its journey at the end of the 19th century. We were pioneers in the natural food trade in Spain and contributed to the penetration and spread of European vegetarianism in Spain. About 300 GB of confidential data was downloaded.
ETATEAM.BE,http://www.etateam.be/,"JUL 5, 2024",21238,0 photos,57717 files,15.00 GB,European Team is an accountant in Brussels in the province of Province of Brussels in the Brussels-Capital region. The firm is established at Rue Joseph Druez 182. European Team and created on 03-02-1986. European Team is known under company number 428490273. The legal form of the company is SPRL. The firm on rue Rue Joseph Druez has 1 to 4 employees. At the bottom of this page you will find more data about this firm.
FELDA GLOBAL VENTURES HOLDINGS BERHAD,http://www.feldaglobal.com/,"JUL 5, 2024",21679,0 photos,226106 files,291.00 GB,"Founded in 2007 and headquartered in Kuala Lumpur, Malaysia, Felda Global Ventures Holdings Berhad, or FGV, is a holding company that has interestsin global agriculture such as soybean and canola products, palm oil, sugar products, and others.In a result of successful attack on this company we have captured a lot of data: private contracts, agreements, all financial documentation, projects, e-mail correspondence and much more. In a case if this company won't get in touch all data which we have will be accessible for download in a week."
MADERO,http://www.madero.ca/,"JUL 5, 2024",20996,0 photos,213579 files,350.00 GB,"Madero is a leading manufacturer and distributor of residential and commercial doors and hardware, from Western Ontario to British Columbia."
BIG ISSUE GROUP,http://www.bigissue.com/,"JUL 5, 2024",20763,0 photos,956277 files,530.00 GB,"UPGRADE! Soon we will start exhibiting the most interesting things and open our eyes to everything that Big Issue Group actually does. Soon you will all support our position. Follow the news. A company that wants to hide the fact of hacking and leakage of personal data. About 550 GB of confidential data was downloaded. - Personnel (copies of documents, personal data, etc.) - Contracts (all reports, partner data, etc.) - Finance (reports, transactions, income, etc.) - BigissueInvest (financial transactions, partners, contracts, etc.) - Private & Confidential and much more."
WATERGATE,http://www.thewatergatehotel.com/,"JUL 5, 2024",20753,0 photos,378376 files,289.00 GB,"The Watergate Hotel's flowing avant-garde architecture was designed by Luigi Moretti to emulate the mighty Potomac. Its stunning Ron Arad-designedinterior lives up to the building's original elegance. The Watergate Hotel takes classic elegance, bold mid-century modern design and adds all the extravagance and warmth of contemporary luxury. This one-of-a-kind hotel pays tribute to its own storied past alongside inventive outlets such as the Kingbird restaurant and The Next Whisky Bar."
MCS,http://www.mitchellcountychamber.org/,"JUL 5, 2024",20174,0 photos,105855 files,53.00 GB,"The mission of the Mitchell County Chamber of Commerce is to support business and promote community. The Chamber is made up of hundreds of businesses, industries and individual members whose goal is to promote Mitchell County, the surrounding region and its economy. The Chamber operates two locations in Mitchell County. The Mitchell County Visitor's Center is located in the Museum of N.C. Minerals, just off the Blue Ridge Parkway. The Visitor's Center greets tens of thousands of visitors each year and provides them with information about the county."
DR CHARLES A EVANS,http://www.charlesevansmd.com/,"JUL 5, 2024",19722,0 photos,9435 files,3.00 GB,"Dr. Charles Evans, MD. We are focusing on preventative medicine, healthy lifestyle, and healthy living. Nutrition, exercise, and weight loss are part of this overall goal."
JEAN-NOUVEL,http://www.jeannouvel.com/,"JUL 5, 2024",12628,0 photos,43461 file,314.00 GB,"AJN est l’un des plus grands cabinets d’architectes en France, avec plus de 40 projets en cours dans 13 pays et une équipe multiculturelle de plusde 140 professionnels. Le projet de l'équipe Jean Nouvel AJN, Jean-Marie Duthilleul AREP et Michel Cantal-Dupart pour le Grand Paris est Naissances et renaissances de mille et un bonheurs parisiens."
THE WEINSTEIN FIRM,http://www.weinsteinwin.com/,"JUL 5, 2024",12450,0 photos,147987 files,89.00 GB,"At The Weinstein Firm LLC, we operate on what is called a contingency fee basis. This means that you, as our client, pay no upfront fees and owe usnothing until we secure a favorable verdict or settlement on your behalf. To put it another way: You don't pay unless we win. Our contingency fee policy makes it risk-free to work with an Atlanta personal injury attorney from our office. Choose The Weinstein Firm LLC."
W.P.J. MCCARTHY AND COMPANY,http://www.wpjmccarthy.com/,"JUL 5, 2024",10545,0 photos,46124 files,70.00 GB,"W.P.J. McCarthy and Company is a privately owned full service real estate firm specializing in the purchase, conception, development, leasing, and management of our own privately held commercial real estate portfolio. As Landlords, we pride ourselves on working with our Tenants, trades, and other partners, to develop and manage properties that provide the communities we work in with great services and economic benefits. We pride ourselves on taking care of our property and giving the best service to our Tenants. Our motto is simple: “Take care of your property and it will take care of you”."
THOLEN BUILDING TECHNOLOGY GROUP,http://www.tholen-gebaeudetechnik.de/,"JUL 5, 2024",9585,0 photos,197793 files,344.00 GB,"We are a medium-sized building technology company and currently employ around 140 people. These are increasingly active in the Aachen, Cologne, Bonn, Düsseldorf, Duisburg and Essen areas. Of course, also beyond these limits."
WILLIAMSRDM.COM,http://www.williamsrdm.com/,"JUL 5, 2024",9490,0 photos,49507 files,104.00 GB,"Williams RDM is a Fort Worth-based research, development, and manufacturing company."
INFORIUS,http://www.inforius.be/,"JUL 5, 2024",9397,0 photos,31077 files,45.00 GB,"Created in 2009 by Guy Wauthier and Laurent Mimmo, it now has 50 employees. With different types of profiles (developers, consultants, system and network engineers, helpdesk and administrative employees, etc.), it has extended its field of skills to develop services of all types. Thanks to the experience acquired, it now offers 3 types of service: INFORIUS consultancy, INFORIUS public authorities and INFORIUS projects."
INTUITAE,http://www.intuitae.com/,"JUL 5, 2024",9093,0 photos,50664 files,40.00 GB,"Intuitae is one of the preeminent family office firms in Europe with bureaus in Paris, Geneva and Luxembourg. We assist more than 50 families whosefortune is at least 20 million Euros, advising them how to preserve their wealth and pass it on to future generations. We provide a comprehensive range of family office services: advice on financial investments, real estate and non-listed companies; support on legal and tax matters; assistance on administrative issues and budget; family governance and philanthropy. Intuitae is a team of 20 personnel directed by 4 partners and complemented by an active network of more than 80 professionals: lawyers, tax specialists, notary publics, etc."
MUNICIPALITÉ LA GUADELOUPE,http://www.munlaguadeloupe.qc.ca/,"JUL 5, 2024",5942,0 photos,1173 files,7.00 GB,"Municipalité La Guadeloupe is a company that operates in the Government industry. It employs 11-20 people and has $5M-$10M of revenue. The companyis headquartered in La Guadeloupe, Quebec, Canada."
CONSULTING RADIOLOGISTS,http://www.consultingradiologists.com/,"JUL 5, 2024",3550,0 photos,94667 files,70.00 GB,"Consulting Radiologists LTD is an independent radiology group based out of Minneapolis, providing a complete range of radiology services to the healthcare community, including outpatient imaging services. After 89 years of existence, CRL continues to remain a vibrant and independent practice, providing best-in-class radiology services with more than 75 physicians working throughout 26 on-site locations."
MCSWEENEY / LANGEVIN,http://www.westrikeback.com/,"JUL 5, 2024",3606,0 photos,126291 file,274.00 GB,McSweeney / Langevin is a national law firm. Our lawyers and staff have helped injured individuals seek justice against major insurance companies and corporations. Our team has recovered millions of dollars for thousands of injured clients.
FIAB SPA,http://www.fiab.it/,"JUL 5, 2024",3637,0 photos,304232 files,118.00 GB,"FIAB SpA is a company that operates in the Cosmetics industry. It employs 101-250 people and has $10M-$25M of revenue. The company is headquarteredin Vicchio, Tuscany, Italy"
PFAM,http://precisionflange.com/,"JUL 5, 2024",3530,0 photos,196708 files,144.00 GB,"Company dedicated to producing the highest quality product, at the best price."
LOGIMODAL OPERAÇÕES LOGÍSTICAS,http://www.logimodal.com.br/,"JUL 5, 2024",3526,0 photos,0 files,0.00 GB,"Roubamos e criptografamos 444 GB de dados confidenciais (contratos, finanças, faturas, recursos humanos, operações e muito mais). Contate-nos através da sala de chat ou divulgaremos os dados ao público. ------------------------------------------------------------- We stole and encrypted 444 GB of confidential data (contracts, finance, invoices, human resources, operations and much more). Contact us via the chatroom or we will release the data to the public."
GOLDEN ACRE,http://www.goldenacre.ca/,"JUL 5, 2024",3552,0 photos,55128 files,63.00 GB,"Golden Acre Garden Sentre. Calgary's garden centre since 1967 and still growing strong. With hundreds of thousands of square feet in retail space.Golden Acre carries a wide variety of Annuals, Perennials, Trees and Shrubs, Houseplants, Garden and Home Decor, as well as Outdoor Furniture and all that you need to create your garden oasis. We also provide Landscaping Services and Horticultural Expertise."
A-AGROUP,http://www.a-agroup.com/,"JUL 5, 2024",3679,0 photos,265684 files,685.00 GB,"A&A Group is a company that operates in the Construction industry. It employs 21-50 people and has $10M-$25M of revenue. The company is headquartered in Fairfield, New Jersey"
ST VINCENT DE PAUL CATHOLIC SCHOOL,http://www.svdpvikings.com/,"JUL 5, 2024",3587,0 photos,80697 files,104.00 GB,"St Vincent de Paul Catholic School is a company that operates in the Education industry. It employs 21-50 people and has $1M-$5M of revenue. The co mpany is headquartered in Peoria, Illinois"
HYDEFUEL.COM,http://www.hydefuel.com/,"JUL 5, 2024",3422,0 photos,38072 files,18.00 GB,"At Hyde Fuel, we offer competitive salaries, great benefits and a pleasant working environment. We are always looking for the ""best and brightest""service technicians, customer service representatives and administrative staff members to join our winning team. If you are interested in a position with Hyde Fuel, please send your resume to Linda@hydefuel.com or contact us here."
SVMASONRY.COM,http://www.svmasonry.com/,"JUL 5, 2024",3446,0 photos,27889 files,110.00 GB,"svmasonry.com Sun Valley Construction is a company that operates in the Construction industry. It employs 51-100 people and has $5M-$10M of revenue. The companyis headquartered in Phoenix, Arizona."
NORTHCOTTAGE.COM,http://www.northcottage.com/,"JUL 5, 2024",3426,0 photos,11692 files,6.00 GB,"The mission of the North Cottage Program, Inc. is to provide quality comprehensive residential substance addiction treatment to any addicted personwho desires recovery and meets the objective standards for admission and participation in the essential components of the program. Fulfillment of this mission is guided by these practices and principles: Provision of a safe, welcoming and supportive recovery environment. The availability of treatment regardless of the applicants ability to pay. Priority consideration for underserved or priority populations identified by North Cottage Program, Inc. and the Department of Public Health. An individualized recovery plan that promotes recovery and prepares residents for independent living and an alcohol and drug-free lifestyle upon completion of the program"
KINSLERFAMILYDENTISTRY,http://www.kinslerfamilydentistry.com/,"JUL 5, 2024",3518,0 photos,1359 files,9.00 GB,"kinslerfamilydentistry Frankfort Dentist - Kinsler Family Dentistry - Dental Care in Frankfort At Kinsler Family Dentistry, your smile is our top priority! Our entire team is dedicated to providing you with the personalized, quality dental care you deserve. During your visit, you will experience all that modern dentistry has to offer, including a list of general, restorative, and cosmetic dental services to meet the needs of the entire family. Our goal is to assist each patient in achieving and maintaining long-term dental health and a beautiful smile! We look forward to caring for you and your family's dental needs!"
SYNNOVIS,http://www.synnovis.co.uk/,"JUL 5, 2024",3077,0 photos,201174 files,613.00 GB,"Synnovis is a pathology partnership between Guy’s and St Thomas’ NHS Foundation Trust and King’s College Hospitals NHS Trust, and SYNLAB, Europe’s largest provider of medical testing and diagnostics."
PRINSOTEL.COM,http://www.prinsotel.com/,"JUL 5, 2024",3039,0 photos,0 files,0.00 GB,"With more than 50 years of family tradition, the Prinsotel hotels located on the captivating islands of Mallorca and Menorca, stand out in their own light, offering much more than just accommodation. They are homes that welcome each guest with warmth and hospitality, transforming each visit into an unforgettable experience. With a long history of excellence in service, they combine the incomparable beauty of their environments with unsurpassed quality in every detail. At Prinsotel, the family essence merges with the majesty of its landscapes, providing each visitor with an experience of luxury and comfort that lasts in their memories long beyond their stay."
