Company Name,Company URL,Date Victimsed,Status,View Count,Photo Count,File Count,Data Size (GB),Ransom Blog Content,Financial Data,PII,Customer and Client Data,Employee and HR data,Legal Documents,Intellectual Property and Trade Secrets,Databases,Sensitive Communication,Healthcare Data,Utility and Infrastructure Data,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
LORANSRL,http://https//www.loransrl.eu,"AUG 15, 2024",Up,20845,0,27148,24,"Our company history begins in 1988. An entrepreneurial reality that presents itself as a ""workshop of innovation and talent"". We immediately established ourselves as leaders in the scientific-health sector, proving ourselves to be successful especially in the supply of specific equipment and services, both for the operating sector and for high-tech critical health areas",No,No,Yes,No,No,No,No,Yes,No,No,"We contribute towards well-being and social progress, through the conception and development of highly specialised and intuitive conditioning solutions, capable of satisfying our customers' requirements, fully respecting people and the environment.","Isola della Scala, Veneto",Italia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eloranair%2Eit&urlhash=xQPr&trk=about_website,Machinery Manufacturing,51-200 employees,null,Self-Owned,128
WWW.PRINSOTEL.COM,http://www.prinsotel.com/,"AUG 15, 2024",Up,20564,0,15083,17,Our hotels are distributed on the islands of Mallorca and Menorca and in the best locations so that you only have to worry about enjoying yourself.,No,No,Yes,No,No,No,No,Yes,No,No,"Family owned business, dedicated for over 30 years to providing unforgettable memories to families and couples by the mediterranean sea.

Located in Mallorca and Menorca, our hotels, apartments and villas are characterized by green and beautiful gardens full of bougainvillea, impeccable service and a wide range of gastronomic experiences.","Palma, Balearic Islands",España,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eprinsotel%2Ees&urlhash=2ckE&trk=about_website,Hospitality,201-500 employees,"hospitality, customer service, tourism, leisure travel, travel, and holidays",Privately Held,835
HAWITA-GRUPPE,http://https//hawita.de,"AUG 15, 2024",Up,18345,0,257826,367,"Thanks to a consistent corporate policy, a great deal of know-how and first-class employees, we have developed into one of the premium manufacturers of products for modern horticulture in the course of the company's over 100-year history. Our portfolio serves the most diverse areas of the ""green industry"" from hobby gardeners to commercial horticulture. Innovative spirit, absolute top products, customer orientation and seamless logistics - this is what we stand for with our name and our mission statement.",No,No,No,No,No,No,Yes,No,No,No,"The HAWITA Group is a globally operating company with more than 400 employees, eight production states as well as more than 4,500 ha of moor land in Germany and the Baltic states.

Thanks to our consistent company policy, a great deal of expertise and the best employees, we have developed into one of the premium manufacturers of modern horticultural products during our 100 year company history.

Our portfolio serves the “green sector” ranging from gardening enthusiasts to professional horticulturalists. With our name and motto: »Your plants in good hands«, we represent an innovative spirit, top products, customer orientation and complete logistics.","Vechta , Vechta",Deutschland,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ehawita%2Ede&urlhash=9sao&trk=about_website,Farming,201-500 employees,"Gartenbau, Substrate, Erden , Torffrei, Blumenerden, Vliestöpfe, Kunststofftöpfe , pottingsoil, hanging basket, pallettino , Mehrwegsystem, Blumenerden, and Logistik",Public Company,993
IEMSC.COM,http://https//iemsc.com,"AUG 15, 2024",Up,14940,0,16129,152,"IEMS offers off-site manufactured Modular Solutions to its clients. In the heart of the City, State of the art Modular Factory is built on a 14,000 sq. ft. facility in Ras Al Khor to ensure the rapid delivery throughout to meet the requirements of our projects in U.A.E. The pre-fabricated modular frames are constructed in a controlled environment with precision to reduce the space constraints and increase efficiency, quality and reliability in a cost and time effective manner.",No,No,No,No,No,No,Yes,No,No,No,"International Electromechanical Services Co. L.L.C. (IEMSC) is a pioneer M.E.P. (MECHANICAL, ELECTRICAL & PLUMBING) Contracting Company with an ISO-9001-2000 certification. The company was founded in the year 1968 and is registered under the Dubai Commercial License No 224454 and its Headquarters are located at Zabeel First, Al Nakheel Building, 3rd Floor 301 and 302 with Branch Office in Abu Dhabi",Dubai,UAE,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eiemsc%2Ecom&urlhash=00Qf&trk=about_website,Construction,"501-1,000 employees",null,Privately Held,3000
KINEMATICA.CH,http://www.kinematica.ch/,"AUG 15, 2024",Up,13893,0,2672,2,"Discover Swiss-made dispersing solutions. Since 1962. At Kinematica, our core values of uncompromising quality, in-depth expertise, and continuous innovation drive our work. With meticulous attention to detail, transparent processes, and a genuine consultancy approach, we provide tailor-made solutions for every application, including the most challenging ones. Experience our commitment to excellence and customized solutions for your needs.",No,No,No,No,No,Yes,No,Yes,No,No,"From our inception in 1962, innovation has been the driving force behind Kinematica's remarkable journey. Our roots trace back to the visionary mind of Professor Willems, whose groundbreaking rotor/stator invention revolutionized the industry. Since then, Kinematica has elevated this technique to new heights, crafting tailored and engineered solutions that cater to the most intricate demands of various applications.

Our dedication to pushing the boundaries of technology remains unshaken, resulting in the establishment of a de facto standard across multiple industries. Today, our products serve as the cornerstone of quality and performance, benefiting thousands of end users across the globe.  At Kinematica, we are guided by the mantra of ""Homogenizing Perfected."" This core principle fuels our every endeavor as we continually refine our ideas to match evolving industry landscapes. As we step into the future, our focus expands beyond boundaries, embracing the seamless integration of technologies in a ""connected world."" In this realm, we stand unwavering in our commitment to delivering uncompromised quality and performance, a promise we hold sacred to our customers.

We invite you to join us on this exhilarating journey of innovation and excellence. Together, we will create a future filled with mutual success, where the spirit of unwavering commitment binds us in our pursuit of perfection.
Stay tuned as we continue to shape the course of industries, redefine possibilities, and create a brighter tomorrow.","Malters, Luzern",Schweiz/Suisse/Svizzera/Svizra,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ekinematica%2Ech&urlhash=tz1l&trk=about_website,Machinery Manufacturing,11-50 employees,"dispersing, emulsification, emulsion, extraction, samplepreparation, Laboratory, rotorstator, wetgrinding, homogenizer, Immersion Dispersers, Inline Disperser, Highly Scalable Reactors, Mills, Stirrer, Mixer, and Blender",Public Company,1291
BRIGHTWIRES.COM.SA,http://www.brightwires.com.sa/,"AUG 15, 2024",Up,13650,0,14157,43,"Bright Wires company Ltd. Is the general marketing, products and services Representative of many international vendors in Saudi Arabia, the Kingdom’s leading provider of telecommunication, enterprise information technology and electrical solutions. History Bright Wires history in the Kingdom goes back to 1989; it was providing simple business of Electrical & Power systems. Due to the rapid economic development in the Kingdom it has grown to offer a total enhanced portfolio of telecommunication, network, electrical products and services including consultation and implementation, business recovery and operations support.",Yes,No,No,No,No,No,No,Yes,No,Yes,"Over 30 years ago, Bright wires was founded in 1989, it has grown up from providing simple business Electrical & Power systems, to offering value-driven Telecommunication and Electrical products and services, It provides wide range of managed services including Fiber Optic Splicing and Testing .From a Data Patch Cord to the Design & Installation of an entire Telecommunication & Electrical Solutions and Network infrastructure cabling.","Riyadh, Riyadh",موريتانيا,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ebrightwires%2Ecom%2Esa%2Fen%2F&urlhash=Maa6&trk=about_website,International Trade and Development,51-200 employees,null,Partnership,6594
PATTERSON HEALTH CENTER,http://https//pattersonhc.org/,"AUG 14, 2024",Up,13734,35,321380,270,"Completed in 2019, Patterson Health Center combined two critical access hospitals in Anthony and Harper, Kansas. The new centrally located critical access hospital has 16 inpatient beds, a large emergency department with two trauma bays to support our trauma services.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PATTERSON HEALTH CENTER INC is a hospital & health care company based out of Harper County KS,"Anthony, ks",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fpattersonhc%2Eorg&urlhash=zhIH&trk=about_website,Hospitals and Health Care,51-200 employees,null,Nonprofit,95
CODACINC.ORG,http://www.codacinc.org/,"AUG 7, 2024",Up,8621,14,31412,9,"CODAC, a non-profit organization based in Cranston, Rhode Island, has provided treatment, recovery and prevention services to individuals and families within local communities for more than 50 years. With seven locations across the state, and two correctional programs, CODAC is uniquely positioned to provide a wide range of outpatient and off-site services to those living with the challenges of substance use disorders and other behavioral healthcare issues.",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,"CODAC, a non-profit organization based in Rhode Island, has provided treatment, recovery and prevention services to individuals, families and communities for over 40 years.  With seven convenient locations, CODAC is uniquely positioned to provide a wide range of outpatient recovery, treatment and prevention services to adolescents and adults struggling with the challenges of substance abuse, gambling disorders, tobacco use, behavioral healthcare issues, and other addictive or abusive behaviors.","Cranston, RI",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ecodacinc%2Eorg&urlhash=Z-45&trk=about_website,Mental Health Care,201-500 employees,null,Nonprofit,966
WWW.SRMEDICALCENTER.ORG,http://www.srmedicalcenter.org/,"JUL 30, 2024",Up,1322,10,373454,293,"The company Schneider Regional Medical Center was attacked by us, all infrastructure of the network was blocked. There were stolen the data, among which confidential information, private contracts, agreements, financial documentation, e-mail correspondence and many more, private particulars of staff and also large scale of information about clients. The information what we have will be available for downloading in 7 days",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,"Schneider Regional Medical Center includes the Roy Lester Schneider Hospital, Myrah Keating Smith Community Health Center, and the Charlotte Kimelman Cancer Institute function as one integrated health system dedicated to providing comprehensive and high-quality care to the residents of the Virgin Islands and visitors of all ages, faiths, and races.","St Thomas, US Virgin Islands",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Esrmedicalcenter%2Eorg%2F&urlhash=h05p&trk=about_website,Hospitals and Health Care,201-500 employees,"Emergency Medicine, Maternal Child Health, Cardiology, Laparoscopic Surgery, General Surgery, Internal Medicine, Pulmonary , InPatient & OutPatient Behavioral Health Services, Physical Rehabilitation, Speech Pathology, Pathology , and Clinical Laboratory Services",Government Agency,665
"NEW TSI HOLDINGS, NYSC",http:// www.newyorksportsclubs.com,"JUL 29, 2024",Up,4440,17,96243,168,"New York Sports Clubs and our family of brands was initially founded in 1973 in New York City, and is a chain of large, full-service, commercial",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,"A key player in the fitness and exercise space throughout the United States. We operate over 65 clubs in 7 states (+ 3 locations in Switzerland) and service almost 300,000 members who come to us to meet their fitness goals. Those members know us as New York Sports Clubs, Boston Sports Clubs, Philadelphia Sports Clubs, Washington Sports Clubs, Lucille Roberts, and Around the Clock Fitness.

We are constantly refreshing our initiatives and programs  to ensure we provide the best fitness and gym experience for every individual who step foot inside our clubs. This includes experimenting with innovative studio-quality programming, developing high intensity small group training classes, partnering with the new athletic-based groups to offer practical sports interval training and investing in our fitness equipment for those seeking cardio and strength training experiences.  We also offer group exercise programs, racquet sports, swimming facilities and Sports Club for Kids. 

Our passion is to not only deliver an exceptional experience to enable our members to achieve their goals but to our team as well. We are always interested to expand so we can build a stronger town. This is our Town and we would love for you to be a part of it.","NY, New York",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Ftsicareers%2Ecom%2F&urlhash=E0f0&trk=about_website,Wellness and Fitness Services,"1,001-5,000 employees","Fitness, Personal Training, Group Exercise, Retail, Health, Fun, Social Networking, Longevity, and Small Group Training",Privately Held,15193
CCJ.EDU.LB,http://www.ccj.edu.lb/,"JUL 28, 2024",Up,6140,12,12036,8,"Central College of the Lebanese Monks aims at fostering and maintaining a positive, supportive, warm, safe, and effective environment conducive to both teaching and learning, one which promotes human values, tolerance, respect, understanding of the other, and love. Such an environment creates an engaging learning community which helps our students achieve and become efficient members of their society and, hopefully, the world.",No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,School,Juniyah,Lebanon,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eccj%2Eedu%2Elb%2Fhome%2F&urlhash=IZr6&trk=about_website,Education Administration Programs,"501-1,000 employees",null,Educational,100
NETWORK COMMUNICATIONS GROUP,http://www.netcomms.co.uk/,"JUL 27, 2024",Up,16577,11,139599,210,"Network Communications Group is the parent company of Network Voice & Data, Fusion Four Telecoms, Meridian Options Systems Support, Bluebill Having operated since 1987 and celebrating over 35 successful years in the telecommunications industry, we have grown organically over the years by remaining innovative and in the forefront of technology. We build and encourage strong partnerships with our clients. A large part of this is our role as technology advisors, we don’t just supply technology, we help businesses understand where it can be put to best use. Operating throughout the UK, we also have an operating presence in Europe and Asia. Our business is to keep your business better connected and informed in the dynamic world of communications.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,"Fast • Reliable • Innovative These words aptly describe Network Communications’ leading edge voice, data and networking services, but they also represent the foundation of our company, from the high level of our local customer service and technical expertise to the honesty and integrity of our sales consultants, staff and leadership. It is our goal to earn your trust and to meet or exceed your expectations in every way, from first contact and beyond.

Network Communications has spent decades developing, building and expanding our network and services to better serve your needs at the most cost-effective rates possible. We are also committed to investing in the best people, advanced infrastructure and advanced technology, and since we are self-funded, we have the freedom to do what’s best for our customers rather than what’s best for an investment banking firm.

At Network Communications, we remain firmly grounded in the same values we started our company with nearly 30 years ago, and in the next 30 years, you can count on us to continue to deliver uncompromising service at the speed of light.

 ","Longview, TX",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Enetworkcommunications%2Ecom%2F&urlhash=SbfZ&trk=about_website,Telecommunications,51-200 employees,null,,163
AYURCAN,http:// www.ayurcann.com,"JUL 26, 2024",Up,18420,9,5013,5,"Ayurcann is a leading post-harvest solutions provider with a focus on providing and creating custom processes and pharma grade products. Within 18 months of entering the recreational Canadian cannabis industry, our products have paved the way, and set new standards that are shaping the future of cannabis. With simple yet effective business practices, we will continue to push quality, reliable, and affordable products to our consumers.",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,"The public company for a Canadian LP providing superior production services in Extraction, Processing, Packaging and Distribution. We have the agility, innovation and competitiveness to build lasting relationships with industry partners and consumers.
https://linktr.ee/Ayurcann","Pickering, ON",Canada,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eayurcann%2Ecom&urlhash=48nc&trk=about_website,"Health, Wellness & Fitness",11-50 employees,"Processing, CBD, THC, Pharmaceuticals, Fullfilment, Logistics, Toll Services, White Label, Packaging, Medical, Brand Development, Partnerships, Cannabis, and Distribution",Public Company,1703
SIMPLE-SOLUTION-SYSTEMS,http://www.simsys.sg/,"JUL 24, 2024",Up,19433,0,240850,1590,"Simple Solution Systems Pte Ltd is a company that operates in the Custom Software & IT Services industry. It employs 20to49 people and has 5Mto10M. At SIMSYS, we provide a wide range of Solution services ranging from Infrastructure Setups, Third Party Application Installation and Configuration, to Turn-Key Application Solutions. See how SIMSYS can help you today.All data of this company will be available for download on 29.07.2024",No,No,Yes,No,No,No,Yes,No,No,No,"Simple Solution Systems or SIMSYS as we call ourselves is a Digital Transformation Solution Provider seeking to find new and innovative solutions to digitally transform our client to success in the online generation. We specialize in User Experience Design consultancy, Enterprise Application Solutions and Mobile Application Development for Small Businesses to Enterprise Corporation that are deployed in N-Tier Architecture Environments.

Today’s IT solutions are not only complex and far from user friendly, they are generally created with the principle of the user needing to know the system, rather than the system being tailored to the user. Design refers to how an IT solution is laid out in a usable and friendly way. It is important to recognize how users navigate through applications so as to tune to the user experience. 

Many of today’s IT solutions are designed in a System-Centric fashion whereby developed systems require the users to understand proprietary complexities, rather than being based on User-Centric designs. We strongly believe that an IT solution’s success hinges on your ability to use it – a system’s design must understand the requirements of users.

The “value add” in choosing SIMSYS is the rich experience in delivering on time quality Internet Projects to our clients. SIMSYS has designed, developed and delivered over 100 projects ranging from Technically Complex Solutions with Interfaces to a wide range of systems (Government and Private Sector), to Content and Document Intense Projects (with over 2500 web pages and millions of documents), using our Enterprise Web Content Management Systems, Document Management Systems and Enterprise Resource Management Solutions along with Mobile Solutions.  ","Singapore, Singapore",Singapore,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Esimsys%2Esg&urlhash=aefg&trk=about_website,IT Services and IT Consulting,11-50 employees,"AGILE, Microsoft, AWS, and Cloud",Privately Held,67
NEXT STEP HEALTHCAR,http://www.nextstephc.com/,"JUL 24, 2024",Up,19465,16,202755,96,"The company “next step healthcare” was subjected to our attack, the entire infrastructure of the network was blocked. Absolutely all data was stolen. Among them is very sensitive information. Let the relevant authorities check the situation and pay attention to all violations and incidents. The management does not care about the confidentiality of their customers' data. They have made it clear that they are not ready to protect the interests of those who trusted them. Everyone whose documents have fallen into our hands will be given full instructions on how you can rob this stall to the last thread. We also officially declare that as soon as you make a new network we will attack you again, because we have a 0day vulnerability in our arsenal. We will show you all our power, so that it will serve as an example and a trigger for those who will think whether to cooperate with us or not. We also officially declare that in the near future there will be a series of attacks on medical institutions U.S.A",No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Next Step Healthcare provides nursing and rehab facilities in Massachusetts for families and individuals who need short or long term options in the face of a variety of health challenges.

We operate 16 locations with integrity, consistency, and the complete understanding that your loved one is depending on us for their care.

A personalized, authentic and worry-free solution in an era of overwhelming options.  

Welcome to the next step in - your heathcare, your career and where you call home.","Woburn, Massachusetts",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Enextstephc%2Ecom&urlhash=WP6G&trk=about_website,Hospitals and Health Care,"1,001-5,000 employees","Long-term care, Short-term care, Speech therapy, Occupational Therapy, Rehabilitation, Respite, Huntingtons disease, Physical Therapy, Cardiac care, Trach care, Pulmonary care, Assisted Living, Brain Injury, behavioral health, and skilled nursing",Privately Held,3598
EHS PARTNERSHIPS,http://www.ehsp.com/,"JUL 23, 2024",Up,17904,0,29898,51,"EHSP is a full service firm built around professionals and leaders in the field of environmental and occupational health and safety (EHS / OH&S). Originally incorporated under the Business Corporations Act on August 13, 1996, the company was officially named EHS Partnerships Ltd. in 2005. In case this company does not get in touch. All the dates we have will be available for download in a week.",No,No,Yes,No,No,No,No,Yes,No,No,"Environmental and Occupational Health and Safety, Industrial Hygiene, Project Management, Asbestos, Mould, IAQ, Auditing, Machine Guarding - Calgary, Edmonton, Winnipeg, Ottawa","Calgary, Alberta",Canada,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fehsp%2Ecom&urlhash=nKE4&trk=about_website,Environmental Services,11-50 employees,"Asbestos, Industrial Hygiene, Safety Auditing, Air Testing, Noise, Mold Mould, Hazardous Materials, Designated Substance Surveys, Occupational Health and Safety Management System, Machine Guarding, and Site Safety Advisory",Privately Held,8491
